category_name,subcategory_or_tool,tool_title,tool_url,sku_count,sku_list,variant_count,variants_json
Tool Cases,The Road Case,The Road Case,https://www.columbiatools.com/columbia-tools/tool-cases/the-road-case/,1,RC,1,"[{""label"": ""The Road Case"", ""sku"": ""RC""}]"
Tool Cases,The Semi-Automatic Case,The Semi-Automatic Case,https://www.columbiatools.com/columbia-tools/tool-cases/the-semi-automatic-case/,1,TCS,1,"[{""label"": ""The Semi-Automatic Case"", ""sku"": ""TCS""}]"
Smoothing Blades,Tomahawk Smoothing Blades,Tomahawk Smoothing Blades,https://www.columbiatools.com/columbia-tools/tomahawk-smoothing-blades/tomahawk-smoothing-blades/,0,,0,[]
Smoothing Blades,Tomalock,Tomalock,https://www.columbiatools.com/columbia-tools/tomahawk-smoothing-blades/tomalock/,1,CLTHA,1,"[{""label"": ""Tomalock"", ""sku"": ""CLTHA""}]"
Smoothing Blades,Sabre Smoothing Blades,Sabre Smoothing Blades,https://www.columbiatools.com/columbia-tools/smoothing-blades/sabre-smoothing-blades/,1,SBC,1,"[{""label"": ""Sabre Smoothing Blades"", ""sku"": ""SBC""}]"
Smoothing Blades,Fat Boy Smoothing Blades,Fat Boy Smoothing Blades,https://www.columbiatools.com/columbia-tools/smoothing-blades/fatboy-smoothing-blades/,0,,11,"[{""label"": ""Fat Boy Smoothing Blades Fat Boy Smoothing Blade 7”"", ""sku"": ""FSB7""}, {""label"": ""Fat Boy Smoothing Blade 10”"", ""sku"": ""FSB10""}, {""label"": ""Fat Boy Smoothing Blade 12”"", ""sku"": ""FSB12""}, {""label"": ""Fat Boy Smoothing Blade 14”"", ""sku"": ""FSB14""}, {""label"": ""Fat Boy Smoothing Blade 16”"", ""sku"": ""FSB16""}, {""label"": ""Fat Boy Smoothing Blade 18”"", ""sku"": ""FSB18""}, {""label"": ""Fat Boy Smoothing Blade 24”"", ""sku"": ""FSB24""}, {""label"": ""Fat Boy Smoothing Blade 32”"", ""sku"": ""FSB32""}, {""label"": ""Fat Boy Smoothing Blade 40”"", ""sku"": ""FSB40""}, {""label"": ""Fat Boy Smoothing Blade 48”"", ""sku"": ""FSB48""}, {""label"": ""Fat Boy Smoothing Blade Claw"", ""sku"": ""FSBC""}]"
Finishing Boxes,Flat Boxes,Flat Boxes,https://www.columbiatools.com/columbia-tools/finishing-boxes/flat-boxes/,6,5.5FFB | 7FFB | 8FFB | 10FFB | 12FFB | 14FFB,6,"[{""label"": ""5.5\"""", ""sku"": ""5.5FFB""}, {""label"": ""7\"""", ""sku"": ""7FFB""}, {""label"": ""8\"""", ""sku"": ""8FFB""}, {""label"": ""10\"""", ""sku"": ""10FFB""}, {""label"": ""12\"""", ""sku"": ""12FFB""}, {""label"": ""14\"""", ""sku"": ""14FFB""}]"
Finishing Boxes,Fat Boy Boxes,Fat Boy Boxes,https://www.columbiatools.com/columbia-tools/finishing-boxes/fat-boy-boxes/,3,8FBB | 10FBB | 12FBB,3,"[{""label"": ""8\"""", ""sku"": ""8FBB""}, {""label"": ""10\"""", ""sku"": ""10FBB""}, {""label"": ""12\"""", ""sku"": ""12FBB""}]"
Finishing Boxes,Automatic Flat Boxes,Automatic Flat Boxes,https://www.columbiatools.com/columbia-tools/finishing-boxes/automatic-flat-boxes/,0,,0,[]
Finishing Boxes,Inside Track Conversion Kits,Inside Track Conversion Kits,https://www.columbiatools.com/columbia-tools/finishing-boxes/inside-track-boxes/,1,ITC-K,1,"[{""label"": ""Inside Track Conversion Kits"", ""sku"": ""ITC-K""}]"
Corner Rollers,Corner Cobra,Corner Cobra,https://www.columbiatools.com/columbia-tools/corner-rollers/corner-cobra/,1,CC,1,"[{""label"": ""Corner Cobra"", ""sku"": ""CC""}]"
Corner Rollers,Inside Corner Roller,Inside Corner Roller,https://www.columbiatools.com/columbia-tools/corner-rollers/inside-corner-roller/,1,CR,1,"[{""label"": ""Inside Corner Roller"", ""sku"": ""CR""}]"
Corner Rollers,Standard Outside Corner Roller,Standard Outside Corner Roller,https://www.columbiatools.com/columbia-tools/corner-rollers/outside-corner-rollers/,1,COBCR,1,"[{""label"": ""Standard Outside Corner Roller"", ""sku"": ""COBCR""}]"
Corner Rollers,Bullnose Outside Corner Roller,Bullnose Outside Corner Roller,https://www.columbiatools.com/columbia-tools/corner-rollers/bullnose-outside-corner-roller/,1,CBNCR,1,"[{""label"": ""Bullnose Outside Corner Roller"", ""sku"": ""CBNCR""}]"
Corner Rollers,Wide Outside Corner Roller,Wide Outside Corner Roller,https://www.columbiatools.com/columbia-tools/corner-rollers/wide-outside-corner-roller/,1,COBCRW,1,"[{""label"": ""Wide Outside Corner Roller"", ""sku"": ""COBCRW""}]"
Corner Rollers,European/Micro Outside Corner Roller,European/Micro Outside Corner Roller,https://www.columbiatools.com/columbia-tools/corner-rollers/european-micro-outside-corner-roller/,1,COBCRE,1,"[{""label"": ""European/Micro Outside Corner Roller"", ""sku"": ""COBCRE""}]"
Angleheads,2″ Anglehead,2″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/2-anglehead/,1,2AH,1,"[{""label"": ""2″ Anglehead"", ""sku"": ""2AH""}]"
Angleheads,2.5″ AngleHead,2.5″ AngleHead,https://www.columbiatools.com/columbia-tools/angleheads/2-5-anglehead/,1,2.5AH,1,"[{""label"": ""2.5″ AngleHead"", ""sku"": ""2.5AH""}]"
Angleheads,3″ Anglehead,3″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/3-anglehead/,1,3AH,1,"[{""label"": ""3″ Anglehead"", ""sku"": ""3AH""}]"
Angleheads,3.5″ Anglehead,3.5″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/3-5-anglehead/,1,3.5AH,1,"[{""label"": ""3.5″ Anglehead"", ""sku"": ""3.5AH""}]"
Angleheads,Anglehead Adaptor,Anglehead Adaptor,https://www.columbiatools.com/columbia-tools/angleheads/anglehead-adaptor/,1,AHA,1,"[{""label"": ""Anglehead Adaptor"", ""sku"": ""AHA""}]"
Nailspotters,2″ Nailspotter,2″ Nailspotter,https://www.columbiatools.com/columbia-tools/nailspotters/2-nailspotter/,1,2NS,1,"[{""label"": ""2″ Nailspotter"", ""sku"": ""2NS""}]"
Nailspotters,3″ Nailspotter,3″ Nailspotter,https://www.columbiatools.com/columbia-tools/nailspotters/3-nailspotter/,1,3NS,1,"[{""label"": ""3″ Nailspotter"", ""sku"": ""3NS""}]"
Corner Tools,8 Inch Throttle Box,8 Inch Throttle Box,https://www.columbiatools.com/columbia-tools/corner-boxes/8-throttle-box/,1,8CFB,1,"[{""label"": ""8 Inch Throttle Box"", ""sku"": ""8CFB""}]"
Corner Tools,7 Inch Throttle Box,7 Inch Throttle Box,https://www.columbiatools.com/columbia-tools/corner-boxes/7-inch-throttle-box/,1,7CFB,1,"[{""label"": ""7 Inch Throttle Box"", ""sku"": ""7CFB""}]"
Corner Flushers,Standard Corner Flusher,Standard Corner Flusher,https://www.columbiatools.com/columbia-tools/corner-flushers/standard-corner-flusher/,5,2.5SF | 3SF | 3.5SF | 4SF | 3WTSF,5,"[{""label"": ""2.5\"""", ""sku"": ""2.5SF""}, {""label"": ""3\"""", ""sku"": ""3SF""}, {""label"": ""3.5\"""", ""sku"": ""3.5SF""}, {""label"": ""4\"""", ""sku"": ""4SF""}, {""label"": ""3\"""", ""sku"": ""3WTSF""}]"
