brand,sku,mpn,name,local_gallery
tapetech,17601,40XTT,"40XTT TapeTech 2"" Angle Head",tapetech\tapetech-anglehead-40tt\01.webp|tapetech\tapetech-anglehead-40tt\02.webp|tapetech\tapetech-anglehead-40tt\03.webp|tapetech\tapetech-anglehead-40tt\04.webp|tapetech\tapetech-anglehead-40tt\05.webp
tapetech,14516,ATX01TT,TapeTech Automatic Taper Extension ATX01TT,tapetech\tapetech-automatic-taper-extension-atx01tt\01.webp|tapetech\tapetech-automatic-taper-extension-atx01tt\02.webp|tapetech\tapetech-automatic-taper-extension-atx01tt\03.webp|tapetech\tapetech-automatic-taper-extension-atx01tt\04.webp|tapetech\tapetech-automatic-taper-extension-atx01tt\05.webp|tapetech\tapetech-automatic-taper-extension-atx01tt\06.webp
tapetech,16777,BAN001-TT,TapeTech MudDog™ Premium Taping Banjo,tapetech\tapetech-banjo-ban001tt\01.webp
tapetech,10031,8134TT,"TT8134 TapeTech 34"" Easy Finish Bent Flat Box Handle",tapetech\tapetech-bent-flatbox-handle-8134tt\01.webp|tapetech\tapetech-bent-flatbox-handle-8134tt\02.webp|tapetech\tapetech-bent-flatbox-handle-8134tt\03.webp|tapetech\tapetech-bent-flatbox-handle-8134tt\04.webp|tapetech\tapetech-bent-flatbox-handle-8134tt\05.webp|tapetech\tapetech-bent-flatbox-handle-8134tt\06.webp
tapetech,10032,8142TT,"TT8142 TapeTech 42"" Easy Finish Bent Flat Box Handle",tapetech\tapetech-bent-flatbox-handle-8142tt\01.webp|tapetech\tapetech-bent-flatbox-handle-8142tt\02.webp|tapetech\tapetech-bent-flatbox-handle-8142tt\03.webp|tapetech\tapetech-bent-flatbox-handle-8142tt\04.webp|tapetech\tapetech-bent-flatbox-handle-8142tt\05.webp|tapetech\tapetech-bent-flatbox-handle-8142tt\06.webp
tapetech,10033,8154TT,"TT8154 TapeTech 54"" Easy Finish Bent Flat Box Handle",tapetech\tapetech-bent-flatbox-handle-8154tt\01.webp|tapetech\tapetech-bent-flatbox-handle-8154tt\02.webp|tapetech\tapetech-bent-flatbox-handle-8154tt\03.webp|tapetech\tapetech-bent-flatbox-handle-8154tt\04.webp|tapetech\tapetech-bent-flatbox-handle-8154tt\05.webp|tapetech\tapetech-bent-flatbox-handle-8154tt\06.webp
tapetech,10034,8172TT,"TT8172 TapeTech 72"" Easy Finish Bent Flat Box Handle",tapetech\tapetech-bent-flatbox-handle-8172tt\01.webp|tapetech\tapetech-bent-flatbox-handle-8172tt\02.webp|tapetech\tapetech-bent-flatbox-handle-8172tt\03.webp|tapetech\tapetech-bent-flatbox-handle-8172tt\04.webp|tapetech\tapetech-bent-flatbox-handle-8172tt\05.webp|tapetech\tapetech-bent-flatbox-handle-8172tt\06.webp
tapetech,12391,90T,TT90 TapeTech Box Filler,tapetech\tapetech-box-filler\01.webp|tapetech\tapetech-box-filler\02.webp|tapetech\tapetech-box-filler\03.webp
tapetech,14153,CAA-TT,TapeTech Angle Box Handle Adapter CAA-TT,tapetech\tapetech-caatt-corner-applicator-adapter\01.webp|tapetech\tapetech-caatt-corner-applicator-adapter\02.webp|tapetech\tapetech-caatt-corner-applicator-adapter\03.webp|tapetech\tapetech-caatt-corner-applicator-adapter\04.webp|tapetech\tapetech-caatt-corner-applicator-adapter\05.webp|tapetech\tapetech-caatt-corner-applicator-adapter\06.webp
tapetech,14154,CFA-TT,TapeTech Corner Finisher Handle Adapter CFA-TT,tapetech\tapetech-cfatt-corner-finisher-adapter\01.webp|tapetech\tapetech-cfatt-corner-finisher-adapter\02.webp
tapetech,14767,07TT-C,TT07-C TapeTech Carbon Fiber Automatic Taper,tapetech\tapetech-carbon-fiber-taper-14767\01.webp|tapetech\tapetech-carbon-fiber-taper-14767\02.webp|tapetech\tapetech-carbon-fiber-taper-14767\03.webp|tapetech\tapetech-carbon-fiber-taper-14767\05.webp|tapetech\tapetech-carbon-fiber-taper-14767\08.webp|tapetech\tapetech-carbon-fiber-taper-14767\09.webp
tapetech,13763,CT24TT,"CT24TT TapeTech 24"" Compound Tube",tapetech\tapetech-compound-tube-24\01.webp|tapetech\tapetech-compound-tube-24\02.webp|tapetech\tapetech-compound-tube-24\03.webp
