sku,type,image_count,filenames
SSB14,variation,2,columbia-14-sabre-smoothing-blade-SSB14-01.webp|columbia-14-sabre-smoothing-blade-SSB14-02.webp
SSB16,variation,2,columbia-16-sabre-smoothing-blade-SSB16-01.webp|columbia-16-sabre-smoothing-blade-SSB16-02.webp
SSB18,variation,2,columbia-18-sabre-smoothing-blade-SSB18-01.webp|columbia-18-sabre-smoothing-blade-SSB18-02.webp
SSB24,variation,2,columbia-24-sabre-smoothing-blade-SSB24-01.webp|columbia-24-sabre-smoothing-blade-SSB24-02.webp
SSB40,variation,2,columbia-40-sabre-smoothing-blade-SSB40-01.webp|columbia-40-sabre-smoothing-blade-SSB40-02.webp
SSB48,variation,2,columbia-48-sabre-smoothing-blade-SSB48-01.webp|columbia-48-sabre-smoothing-blade-SSB48-02.webp
SSB7,variation,2,columbia-7-sabre-smoothing-blade-SSB7-01.webp|columbia-7-sabre-smoothing-blade-SSB7-02.webp
SSB32,variation,3,columbia-32-sabre-smoothing-blade-SSB32-01.webp|columbia-32-inch-sabre-smoothing-blade-SSB32-02.webp|columbia-32-sabre-smoothing-blade-SSB32-02.webp
COL-TSB,variable,6,columbia-12-tomahawk-smoothing-blade-TSB12-01.webp|columbia-18-tomahawk-smoothing-blade-TSB18-01.webp|columbia-24-tomahawk-smoothing-blade-TSB24-01.webp|columbia-32-tomahawk-smoothing-blade-TSB32-01.webp|columbia-40-tomahawk-smoothing-blade-TSB40-01.webp|columbia-7-tomahawk-smoothing-blade-TSB7-01.webp
TSB10,variation,0,
TSB12,variation,1,columbia-12-tomahawk-smoothing-blade-TSB12-01.webp
TSB14,variation,0,
TSB18,variation,1,columbia-18-tomahawk-smoothing-blade-TSB18-01.webp
TSB24,variation,1,columbia-24-tomahawk-smoothing-blade-TSB24-01.webp
TSB32,variation,1,columbia-32-tomahawk-smoothing-blade-TSB32-01.webp
TSB40,variation,1,columbia-40-tomahawk-smoothing-blade-TSB40-01.webp
TSB48,variation,0,
TSB7,variation,1,columbia-7-tomahawk-smoothing-blade-TSB7-01.webp
COLUMBIAMUDPANS3,simple,0,
COMBOFLUSHER,simple,0,
CORNERROLLERMAINTENANCEKITS,simple,0,
CPFGN,simple,0,
CPFP,simple,0,
CR,simple,0,
CR12,simple,0,
CR6,simple,0,
CRA2,simple,0,
CS,simple,0,
CSH,simple,0,
CT1,simple,0,
CT10,simple,0,
CT103,simple,0,
CT105,simple,0,
CT106,simple,0,
CT107,simple,0,
CT109,simple,0,
CT10A,simple,0,
CT11,simple,0,
CT111,simple,0,
CT112,simple,0,
CT113,simple,0,
CT115,simple,0,
CT115A,simple,0,
CT116A,simple,0,
CT118A,simple,0,
CT119,simple,0,
CT12,simple,0,
CT120,simple,2,columbia-taper-tape-spool-w-tension-adjuster-CT120-01.webp|columbia-taper-tape-spool-with-tension-adjust-CT120-01.webp
CT122A,simple,0,
CT123,simple,0,
CT125,simple,0,
CT125A,simple,0,
CT127,simple,0,
CT128A,simple,0,
CT129B,simple,0,
CT130,simple,0,
CT14A,simple,0,
CT17,simple,0,
CT19,simple,0,
CT2,simple,0,
CT20,simple,0,
CT22,simple,0,
