record_type,row_number,name,current_sku,proposed_sku,current_parent,proposed_parent,current_mpn,proposed_mpn,source,notes
variable,1531,TapeTech Radius Trowel - Straight,TapeTechRadiusTrowelStraight,TapeTechRadiusTrowelStraight,,,TapeTechRadiusTrowelStraight,,current_family_key_blank_parent_mpn,children=2
variation,1673,"TapeTech 20"" Radius Trowel - Straight",18555,18555,TapeTechRadiusTrowelStraight,TapeTechRadiusTrowelStraight,TapeTechRTS20TT,RTS20TT,strip_tapetech_prefix,synthetic_or_blank_current_mpn
variation,1674,"TapeTech 26"" Radius Trowel - Straight",18556,18556,TapeTechRadiusTrowelStraight,TapeTechRadiusTrowelStraight,TapeTechRTS26TT,RTS26TT,strip_tapetech_prefix,synthetic_or_blank_current_mpn
variable,1532,TapeTech Rounded Corner Plaster Spatula,TapeTechRoundedCornerPlasterSpatula,TapeTechRoundedCornerPlasterSpatula,,,TapeTechRoundedCornerPlasterSpatula,,current_family_key_blank_parent_mpn,children=6
variable,1533,TapeTech U-Shaped Pipe Foam Groover 3-pack,TapeTechUShapedPipeFoamGroover3pack,TapeTechUShapedPipeFoamGroover3pack,,,TapeTechUShapedPipeFoamGroover3pack,,current_family_key_blank_parent_mpn,children=2
variable,1534,TapeTech Wavy Reciprocating Saw Blade for WoolCut18-R,TapeTechWavyReciprocatingSawBladeforWoolCut18R,TapeTechWavyReciprocatingSawBladeforWoolCut18R,,,TapeTechWavyReciprocatingSawBladeforWoolCut18R,,current_family_key_blank_parent_mpn,children=2
variable,1535,"TapeTech x 0.5"" Square Foam Groover 3-pack",TapeTechx05SquareFoamGroover3pack,TapeTechx05SquareFoamGroover3pack,,,TapeTechx05SquareFoamGroover3pack,,current_family_key_blank_parent_mpn,children=4
variation,1618,"TapeTech 0.5"" x 0.5"" Square Foam Groover 3-pack",18314,18314,TapeTechx05SquareFoamGroover3pack,TapeTechx05SquareFoamGroover3pack,ESQGROOVE01,ESQGROOVE01-3,description_code_pack_suffix,description_adds_pack_suffix
variation,1619,"TapeTech 0.75"" x 0.5"" Square Foam Groover 3-pack",18315,18315,TapeTechx05SquareFoamGroover3pack,TapeTechx05SquareFoamGroover3pack,ESQGROOVE02,ESQGROOVE02-3,description_code_pack_suffix,description_adds_pack_suffix
variation,1621,"TapeTech 1"" x 0.5"" Square Foam Groover 3-pack",18317,18317,TapeTechx05SquareFoamGroover3pack,TapeTechx05SquareFoamGroover3pack,ESQGROOVE04,ESQGROOVE04-3,description_code_pack_suffix,description_adds_pack_suffix
variation,1624,"TapeTech 1.5"" x 0.5"" Square Foam Groover 3-pack",18320,18320,TapeTechx05SquareFoamGroover3pack,TapeTechx05SquareFoamGroover3pack,ESQGROOVE07,ESQGROOVE07-3,description_code_pack_suffix,description_adds_pack_suffix
variable,1536,"TapeTech x 0.5"" Square Nylon Insert",TapeTechx05SquareNylonInsert,TapeTechx05SquareNylonInsert,,,TapeTechx05SquareNylonInsert,,current_family_key_blank_parent_mpn,children=4
variable,1537,"TapeTech x 0.5"" V-Shaped Foam Groover 3-pack",TapeTechx05VShapedFoamGroover3pack,TapeTechx05VShapedFoamGroover3pack,,,TapeTechx05VShapedFoamGroover3pack,,current_family_key_blank_parent_mpn,children=2
variation,1629,"TapeTech 0.5"" x 0.5"" V-Shaped Foam Groover 3-pack",18326,18326,TapeTechx05VShapedFoamGroover3pack,TapeTechx05VShapedFoamGroover3pack,EVEEGROOVE01,EVEEGROOVE01-3,description_code_pack_suffix,description_adds_pack_suffix
variable,1538,"TapeTech x 0.5"" V-Shaped Nylon Insert",TapeTechx05VShapedNylonInsert,TapeTechx05VShapedNylonInsert,,,TapeTechx05VShapedNylonInsert,,current_family_key_blank_parent_mpn,children=2
variable,1539,"TapeTech x 0.75"" Square Foam Groover 3-pack",TapeTechx075SquareFoamGroover3pack,TapeTechx075SquareFoamGroover3pack,,,TapeTechx075SquareFoamGroover3pack,,current_family_key_blank_parent_mpn,children=4
variation,1620,"TapeTech 0.75"" x 0.75"" Square Foam Groover 3-pack",18316,18316,TapeTechx075SquareFoamGroover3pack,TapeTechx075SquareFoamGroover3pack,ESQGROOVE03,ESQGROOVE03-3,description_code_pack_suffix,description_adds_pack_suffix
variation,1622,"TapeTech 1"" x 0.75"" Square Foam Groover 3-pack",18318,18318,TapeTechx075SquareFoamGroover3pack,TapeTechx075SquareFoamGroover3pack,ESQGROOVE05,ESQGROOVE05-3,description_code_pack_suffix,description_adds_pack_suffix
variation,1625,"TapeTech 1.5"" x 0.75"" Square Foam Groover 3-pack",18321,18321,TapeTechx075SquareFoamGroover3pack,TapeTechx075SquareFoamGroover3pack,ESQGROOVE08,ESQGROOVE08-3,description_code_pack_suffix,description_adds_pack_suffix
