"attachment_id","schematic_id","brand","model_number","model_name","part_count","notes","product_ids"
"","columbia-billet-mud-applicator-inside-corner-4-wheels-1-ica4-1-sch","Columbia Tools","ICA41","Columbia Billet Mud Applicator - Inside Corner 4 Wheels - 1""","8","dir_map=Applicators/InsideCornerApplicator/4Wheel; catalog=wc-product-export-current.csv; dir_map=Applicators/InsideCornerApplicator/4Wheel; catalog=wc-product-export-current.csv; normalized_from=columbia-ica1-4-2015; slug=columbia-billet-mud-applicator-inside-corner-4-wheels-1-ica4-1; sku=ICA41",""
"","columbia-corner-roller-sch","Columbia Tools","CR","Columbia Corner Roller","11","dir_map=CornerRollers/InsideCornerRoller; catalog=wc-product-export-current.csv; dir_map=CornerRollers/InsideCornerRoller; catalog=wc-product-export-current.csv; normalized_from=columbia-insidecornerroller-2014-1-squared; slug=columbia-corner-roller; sku=CR",""
"","columbia-matrix-box-handle-matrixboxhandle-boxhandle-sch","Columbia Tools","COLMATRIXBOXHANDLE","Columbia Matrix Box Handle","15","source=Columbia\Schematics\Handles\MatrixBoxHandle\BoxHandle\schematic_data.json; images=columbia-matrix-box-handle-schematic-page-001.webp|columbia-matrix-box-handle-schematic-page-002.webp; map_source=woocommerce_catalog_production.csv",""
"","columbia-ah1-3-5-head-casting-3-5in-sch","Columbia Tools","AH135IN","AH1 - 3.5 - Head Casting - 3.5""","11","dir_map=Handles/MatrixBoxHandle/Head; catalog=dtb_woocommerce_official_catalog_stage1_simple_variable.csv; dir_map=Handles/MatrixBoxHandle/Head; catalog=dtb_woocommerce_official_catalog_stage1_simple_variable.csv; normalized_from=columbia-matrix-head; slug=columbia-ah1-3-5-head-casting-3-5in; sku=AH135IN",""
"","columbia-180-grip-lower-brake-lever-bh4-sch","Columbia Tools","BH4","Lower Brake Lever","9","dir_map=Handles/MatrixBoxHandle/Lever; catalog=dtb_woocommerce_official_catalog_stage1_simple_variable.csv; dir_map=Handles/MatrixBoxHandle/Lever; catalog=dtb_woocommerce_official_catalog_stage1_simple_variable.csv; normalized_from=columbia-matrix-lever-1; slug=columbia-180-grip-lower-brake-lever-bh4; sku=BH4",""
"","columbia-matrix-box-handle-matrixboxhandle-pinchbox-sch","Columbia Tools","COLMATRIXBOXHANDLE","Columbia Matrix Box Handle","10","source=Columbia\Schematics\Handles\MatrixBoxHandle\Pinchbox\schematic_data.json; images=columbia-matrix-box-handle-schematic-page-001.webp; map_source=woocommerce_catalog_production.csv",""
"","columbia-mud-pump-pumps-mudpump-sch","Columbia Tools","COLMUDPUMP","Columbia Mud Pump","53","source=Columbia\Schematics\Pumps\MudPump\schematic_data.json; images=columbia-mud-pump-schematic-page-001.webp|columbia-mud-pump-schematic-page-002.webp|columbia-mud-pump-schematic-page-003.webp; map_source=woocommerce_catalog_production.csv",""
"","columbia-nail-spotter-sch","Columbia Tools","COLNAILSPOTTER","Columbia Nail Spotter","46","dir_map=Nailspotters/Nailspotter; catalog=wc-product-export-current.csv; dir_map=Nailspotters/Nailspotter; catalog=wc-product-export-current.csv; normalized_from=columbia-nail-spotter-schematic-2022; slug=columbia-nail-spotter; sku=COLNAILSPOTTER",""
"","columbia-outside-corner-roller-sch","Columbia Tools","COLOUTSIDECORNERROLLER","Columbia Outside Corner Roller","17","dir_map=CornerRollers/StandardOutsideCornerRoller; catalog=wc-product-export-current.csv; dir_map=CornerRollers/StandardOutsideCornerRoller; catalog=wc-product-export-current.csv; normalized_from=columbia-outsidecornerrollers-2016-1; slug=columbia-outside-corner-roller; sku=COLOUTSIDECORNERROLLER",""
"","columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-body-sch","Columbia Tools","PTAPER","Columbia Automatic Taper - Predator Carbon Fiber 53""","48","dir_map=AutomaticTapers/PredatorTaper/Body; catalog=wc-product-export-current.csv; dir_map=AutomaticTapers/PredatorTaper/Body; catalog=wc-product-export-current.csv; normalized_from=columbia-predator-taper-body; slug=columbia-automatic-taper-predator-carbon-fiber-53-ptaper; sku=PTAPER",""
"","columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch","Columbia Tools","PTAPER","Columbia Automatic Taper - Predator Carbon Fiber 53""","187","dir_map=AutomaticTapers/PredatorTaper/Head; catalog=wc-product-export-current.csv; dir_map=AutomaticTapers/PredatorTaper/Head; catalog=wc-product-export-current.csv; normalized_from=columbia-predator-taper-head; slug=columbia-automatic-taper-predator-carbon-fiber-53-ptaper; sku=PTAPER",""
"","columbia-combo-flusher-3-3csf-sch","Columbia Tools","3CSF","Columbia Combo Flusher - 3""","11","source=Columbia\Schematics\Sanders\SanderHead\schematic_data.json; images=columbia-combo-flusher-3-3csf-schematic-page-001.webp|columbia-combo-flusher-3-3csf-schematic-page-002.webp; map_source=woocommerce_catalog_production.csv",""
"","columbia-semi-automatic-taper-sat-sch","Columbia Tools","SAT","Columbia Semi Automatic Taper","43","dir_map=SemiAutomaticTapers/SemiAutomaticTaper; catalog=wc-product-export-current.csv; dir_map=SemiAutomaticTapers/SemiAutomaticTaper; catalog=wc-product-export-current.csv; normalized_from=columbia-semi-automatic-taper-schematic-2022; slug=columbia-semi-automatic-taper-sat; sku=SAT",""
"","columbia-mud-pump-pumps-tallboymudpump-sch","Columbia Tools","COLMUDPUMP","Columbia Mud Pump","56","source=Columbia\Schematics\Pumps\TallBoyMudPump\schematic_data.json; images=columbia-mud-pump-schematic-page-001.webp|columbia-mud-pump-schematic-page-002.webp|columbia-mud-pump-schematic-page-003.webp; map_source=woocommerce_catalog_production.csv",""
