Import complete! 2,874 products updated. 767 products were skipped. Failed to import 181 products. View import log. File uploaded: product-wp-catalog-x4aksntfxl.csv
Product	Reason for failure
Columbia 14" Mud Pan with Magnetic Grip (C14MPX6), SKU C14MPX6	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/c14mpx6_0.webp. Error: Not Found
Columbia 2" Angle Head w/ Wheels (2AH), SKU 2AH	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/2ah_0.webp. Error: Not Found
Columbia 24" Cam Lock Tube (CLT24), SKU CLT24	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/clt24_0.webp. Error: Not Found
Columbia 10-24 x 7/8 Hex Bolt (FA371), SKU FA371	No matching product exists to update.
Columbia 10-32 x 3/8 Flat Head Screw (FA375), SKU FA375	No matching product exists to update.
Columbia 3" Direct Drywall Corner Flusher (3DF), SKU 3DF	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/3df_0.webp. Error: Not Found
Columbia 3" Widetrack Direct Drywall Corner Flusher (3WTDF), SKU 3WTDF	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/3wtdf_0.webp. Error: Not Found
Columbia 3' 180-Grip Bent Flat Box Handle (3BBH), SKU 3BBH	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/3bbh_0.webp. Error: Not Found
Columbia 4" Flat Applicator Head (CFLT), SKU CFLT	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cflt_0.webp. Error: Not Found
Columbia 4-40 X 3/4" Bind Head Screw (FA220), SKU FA220	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa220_0.webp. Error: Not Found
Columbia 3/8 Flat Washer (FA328), SKU FA328	No matching product exists to update.
Columbia 3/8 Lock Washer (FA360), SKU FA360	No matching product exists to update.
Columbia 3/8 x 1/2 Roll Pin (FA359), SKU FA359	No matching product exists to update.
Columbia 3/8-16 Hex Nut (FA319), SKU FA319	No matching product exists to update.
Columbia 3/8-16 Nyloc Nut (FA358), SKU FA358	No matching product exists to update.
Columbia 3/8-16 x 1 Hex Bolt (FA526), SKU FA526	No matching product exists to update.
Columbia 3/8-16 x 1-1/2 Socket Head Screw (FA325), SKU FA325	No matching product exists to update.
Columbia 3/8-16 x 1-1/4 Hex Bolt (FA318), SKU FA318	No matching product exists to update.
Columbia 3/8-16 x 3/4 Socket Head Screw (FA321), SKU FA321	No matching product exists to update.
Columbia 3/8-16 x 5/8 Flat Head Screw (FA355), SKU FA355	No matching product exists to update.
Columbia 4-40 Lock Washer (FA21K), SKU FA21K	No matching product exists to update.
Columbia 4-40 Nyloc Nut (FA22K), SKU FA22K	No matching product exists to update.
Columbia 4-40 x 1/4 Flat Head Screw (FA21A), SKU FA21A	No matching product exists to update.
Columbia 4-40 x 3/16 Flat Head Screw (FA20A), SKU FA20A	No matching product exists to update.
Columbia 4" Flat Applicator Head (CFLT), SKU CFLT	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cflt_0.webp. Error: Not Found
Columbia 4-40 X 3/4" Bind Head Screw (FA220), SKU FA220	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa220_0.webp. Error: Not Found
Columbia 42" 180-Grip Featherweight Flat Box Handle (42BH), SKU 42BH	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/42bh_0.webp. Error: Not Found
Columbia 5/16-18 x 1 1/4" Hex Bolt (FA-306), SKU FA-306	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia 6-32 X 5/8" Hex Bolt (FA247), SKU FA247	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa247_0.webp. Error: Not Found
Columbia 4-40 Lock Washer (FA21K), SKU FA21K	No matching product exists to update.
Columbia 4-40 Nyloc Nut (FA22K), SKU FA22K	No matching product exists to update.
Columbia 4-40 x 1/4 Flat Head Screw (FA21A), SKU FA21A	No matching product exists to update.
Columbia 4-40 x 3/16 Flat Head Screw (FA20A), SKU FA20A	No matching product exists to update.
Columbia 5/16-18 Hex Nut (FA311), SKU FA311	No matching product exists to update.
Columbia 5/16-18 Nyloc Jam Nut (FA313), SKU FA313	No matching product exists to update.
Columbia 5/16-18 x 1-1/2 Hex Bolt (FA307), SKU FA307	No matching product exists to update.
Columbia 5/16-18 x 1/2 Socket Head Screw (FA309), SKU FA309	No matching product exists to update.
Columbia 5/16-18 x 5/8 Socket Head Screw (FA317), SKU FA317	No matching product exists to update.
Columbia 5/16-18 x 7/8 Socket Head Screw (FA350), SKU FA350	No matching product exists to update.
Columbia 6-32 x 1 Pan Head Screw (FA391), SKU FA391	No matching product exists to update.
Columbia 6-32 x 1-1/2 Pan Head Screw (FA393), SKU FA393	No matching product exists to update.
Columbia 6-32 x 1-1/4 Pan Head Screw (FA392), SKU FA392	No matching product exists to update.
Columbia 6-32 x 1/4 Pan Head Screw (FA27A), SKU FA27A	No matching product exists to update.
Columbia 6-32 x 3/8 Pan Head Screw (FA242), SKU FA242	No matching product exists to update.
Columbia 6-32 x 5/8 Socket Head Screw (FA376), SKU FA376	No matching product exists to update.
Columbia 6-32 X 5/8" Hex Bolt (FA247), SKU FA247	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/fa247_0.webp. Error: Not Found
Columbia 7" ThrottleBox Angle Box (7CFB), SKU 7CFB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/7cfb_0.webp. Error: Not Found
Columbia 8" Drywall Flat Finisher Box (8FFB), SKU 8FFB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/8ffb_0.webp. Error: Not Found
Columbia 8" Fat Boy Automatic Assist Drywall Flat Box (8FBBA), SKU 8FBBA	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/8fbba_0.webp. Error: Not Found
Columbia 8" Fat Boy Drywall Flat Finishing Box (8FBB), SKU 8FBB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/8fbb_0.webp. Error: Not Found
Columbia 8" Inside Track Fat Boy Flat Box (8ITFB), SKU 8ITFB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/8itfb_0.webp. Error: Not Found
Columbia AH5 - Angle Head Frame Retainer Clip (402019-A), SKU 402019-A	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia Angle Box Bearing Sleeve (CFB16), SKU CFB16	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/cfb16_0.webp. Error: Not Found
Columbia Angle Box Hinge Seal - CFB1A (CFB-1A), SKU CFB-1A	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia Angle Box Nylatron Bushing (CFB-19), SKU CFB-19	Invalid image: Sorry, you are not allowed to upload this file type.
Columbia Angle Head Ball Adapter (AHA), SKU AHA	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/Columbia/Products/aha_0.webp. Error: Not Found
Columbia 6-32 x 1 Pan Head Screw (FA391), SKU FA391	No matching product exists to update.
Columbia 6-32 x 1-1/2 Pan Head Screw (FA393), SKU FA393	No matching product exists to update.
Columbia 6-32 x 1-1/4 Pan Head Screw (FA392), SKU FA392	No matching product exists to update.
Columbia 6-32 x 1/4 Pan Head Screw (FA27A), SKU FA27A	No matching product exists to update.
Columbia 6-32 x 3/8 Pan Head Screw (FA242), SKU FA242	No matching product exists to update.
Columbia 6-32 x 5/8 Socket Head Screw (FA376), SKU FA376	No matching product exists to update.
Columbia 6-32 x 7/8 Pan Head Screw (FA390), SKU FA390	No matching product exists to update.
Columbia 8-32 x 3/4 Socket Head Screw (FA260), SKU FA260	No matching product exists to update.
Columbia 8-32 x 5/8 Flat Head Screw (FA263), SKU FA263	No matching product exists to update.
