sku,type,product_name,image_count,images_applied
MH25,variation,Columbia Matrix Handle Repair Parts,10,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-1-4-e-clip-for-matrix-handle-FA379-01.webp
MPR-1,simple,Columbia Mud Pump Repair Kit,1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tall-boy-mud-pump-TBMP-01.webp
2NS,variation,Columbia Nail Spotter,1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-nailspotter-2NS-01.webp
3NS,variation,Columbia Nail Spotter,1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-nailspotter-3NS-01.webp
C1HS,variation,Columbia One Fixed Handle,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-one-1-C1HS-01.webp
C1H,variation,Columbia One Fixed Handle,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-one-1-C1HS-01.webp
OPBS,simple,Columbia One Piece Stainless Steel Bucket Scoop,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-bucket-scoops-one-piece-bucket-scoop-OPBS-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-bucket-scoops-on
OPPK,variable,Columbia One Piece Putty Knives,4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-bucket-scoops-one-piece-bucket-scoop-OPBS-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-bucket-scoops-on
C1PTAPER,simple,Columbia One Predator Automatic Taper,10,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-automatic-taper-TAPER-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-automatic-taper-TAPER-02.webp | http
CBNCR,simple,Columbia Bullnose Outside Corner Roller (CBNCR),4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-bullnose-outside-corner-roller-CBNCR-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-european-micro-outsid
COBCR,simple,Columbia Standard Outside Corner Roller (COBCR),4,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-bullnose-outside-corner-roller-CBNCR-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-european-micro-outsid
COL-PLASTIC-MUD-HEAD-APPL,variable,Columbia Plastic Mud Head Applicator,10,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-mud-applicator-head-90-inside-16TT90-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-mud-applicator-head-9
IA90,variation,Columbia Plastic Mud Head Applicator,10,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-inside-90-grooved-mud-heads-IA90-01.webp
OA90,variation,Columbia Plastic Mud Head Applicator,10,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-mud-applicator-head-90-inside-16TT90-01.webp
FMH,variation,Columbia Plastic Mud Head Applicator,10,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/tapetech-mud-applicator-head-90-inside-16TT90-01.webp
CPFP,simple,Columbia X Graco PowerFill 3.5 Columbia PowerFill Pump (come,2,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-x-graco-powerfill-3-5-columbia-powerfill-pump-CPFP-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-x-graco
PCLT42,simple,"Columbia Predator Cam-Lock Tube 42"" (PCLT42)",2,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-cam-lock-tube-55-CLT55-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-cam-lock-tube-55-CLT55-02.webp
PCMT42,simple,"Columbia Predator Compound Tube 42"" (PCMT42)",1,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-predator-compound-tube-42-PCMT42-01.webp
