"Brand","Type","SKU","Parent SKU","Name","Categories","Images"
"Columbia","simple","FA346","","1/4 Star Washer (FA346)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA350","","5/16 - 18 x 7/8 Socket Head Screw (FA350)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA355","","3/8 - 16 x 5/8 Flat Head Screw (FA355)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA358","","3/8 - 16 Nyloc Nut (FA358)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA359","","3/8 x 1/2 Roll Pin (FA359)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA360","","3/8 Lock Washer (FA360)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA362","","10 - 24 x 3/4 Flat Head Screw (FA362)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA364","","8 - 32 x 5/8 Hex Bolt (FA364)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA366","","8 - 32 x 3/8 Pan Head Screw (FA366)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA371","","10 - 24 x 7/8 Hex Bolt (FA371)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA374","","10 - 32 x 1/4 Flat Head Screw (FA374)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA375","","10 - 32 x 3/8 Flat Head Screw (FA375)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA377","","6 - 32 x 1/4 Flat Head Screw (FA377)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA390","","6 - 32 x 7/8 Pan Head Screw (FA390)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA391","","6 - 32 x 1 Pan Head Screw (FA391)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA392","","6 - 32 x 1 - 1/4 Pan Head Screw (FA392)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA393","","6 - 32 x 1 - 1/2 Pan Head Screw (FA393)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FA526","","3/8 - 16 x 1 Hex Bolt (FA526)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAJ144","","Predator Joint Fastener 14 - 4 (FAJ144)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAJ706","","Predator Joint Fastener 70 - 6 (FAJ706)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAS46","","Predator Taper 4 - 40 x 5/16 Set Screw (FAS46)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ07","","Predator Taper 4 - 40 x 3/16 Binder Slot (FAZ07)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ0A","","Predator Taper 4 - 40 Lock Washer (FAZ0A)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ10","","Predator Taper 4 - 40 x 1/4 Fillister Slot (FAZ10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ14","","Predator Taper 4 - 40 x 3/8 Hex Bolt (FAZ14)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ1S","","Predator Taper 4 - 40 x 1/8 Set Screw (FAZ1S)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ20","","Predator Taper 6 - 32 x 3/4 Hex Bolt (FAZ20)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ21S","","Predator Taper 6 - 32 x 1/8 Set Screw (FAZ21S)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ2R","","Predator Taper 6 - 32 Nyloc Nut (FAZ2R)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ48","","Predator Taper 5/16 - 18 x 3/4 Hex Bolt (FAZ48)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ54","","Predator Taper 3/8 - 16 x 3/4 Socket Head (FAZ54)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ5S","","Predator Taper 8 - 32 x 1/4 Set Screw (FAZ5S)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZ6S","","Predator Taper 8 - 32 x 3/16 Set Screw (FAZ6S)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FAZOR","","Predator Taper 4 - 40 O - Ring (FAZOR)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FCMR1-5X18MM","","Columbia Corner Mud Roller Replacement","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FF8-12","","Adjuster Dial Assy (5.5,7,8,10)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FF8-19","","Brass Adjuster Pin (FFB19)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FF8-32","","Thumb Release Clip (FFB32)","Drywall Finishing Tools > Columbia > Parts",""
"Columbia","simple","FF8-4C","","Flat Box Corner Blade Assembly 4 in (FFB4C)","Drywall Finishing Tools > Columbia > Parts",""
