reference_model,reference_section,reference_catalog_page,reference_page_name,reference_enrichment_name,reference_enrichment_short_description,reference_mapping_category,reference_mapping_subcategory,reference_mapping_product,shop_reference_name,shop_reference_description,present_in_wc_catalog_by_mpn
CH90TT,Applicator Heads,17,TapeTech 90 mm Cove Applicator Head CH90TT,TapeTech 90 mm Cove Applicator Head CH90TT,TapeTech 90 mm Cove Applicator Head CH90TT TapeTech Cove Applicator Heads apply a bead of gypsum cove adhesive in precisely the right location for optimal adhes...,Automatic Taping & Finishing Tools,Applicator Heads,Cove Applicator Head,,,0
CTADJUST-IN,Premium Taping Knives,37,TapeTech Carbon Steel Clipped & Pointed Knife,,,,,,,,0
FBH2642TT-CF,Carbon Fiber Extension Box Handles,31,"Extends from 26"" to 42""",,,Automatic Taping & Finishing Tools,Box Handles,Carbon Fiber Box Handle,,,0
FBH4272TT-CF,Carbon Fiber Extension Box Handles,31,"Extends from 42"" to 72""",,,Automatic Taping & Finishing Tools,Box Handles,Carbon Fiber Box Handle,,,0
FS1106,T-RAXX Tool Rack System,60,FLEX 2-Drawer Stack Pack,,,,,,,,0
FS1108,T-RAXX Tool Rack System,60,FLEX Roller Drawer Stack Pack,,,,,,,,0
FS1501,T-RAXX Tool Rack System,60,"Track LockTM 32"" Wall Mount Rail Base",,,,,,,,0
FS1501-2,T-RAXX Tool Rack System,60,"Track LockTM 32"" Wall Mount Rail Base 2PK",,,,,,,,0
GSR-TT,Loading Pumps,13,TapeTech Gooseneck Riser GSR-TT,TapeTech Gooseneck Riser GSR-TT,TapeTech Gooseneck Riser GSR-TT for Loading Pump 76TT-CA,Automatic Taping & Finishing Tools,Loading Pumps,Gooseneck Riser,,,0
HAWK001-PS,"Mud Pans, Hawks, Bucket Scoop, Mixing Paddle",44,"13"" x 13ʺ Aluminum Hawk",,,Premium Knives & Trowels,Mud Pans & Hawks,Finishing Hawk,,,0
HAWK002-PS,"Mud Pans, Hawks, Bucket Scoop, Mixing Paddle",44,"13"" x 13ʺ Premium Anodized Hawk",,,Premium Knives & Trowels,Mud Pans & Hawks,Finishing Hawk,,,0
JCT01TT,Tools of the Trade,45,TapeTech Jam Clearing Tool,TapeTech Jam Clearing Tool,"TapeTech Jam Clearing Tool TapeTech created this tape and mud jam clearing tool to swiftly unclog automatic taper jams, avoiding slowdowns on the jobsite.",Tools of the Trade,Jam Clearing,Jam Clearing Tool,,,0
MP12SSTT,"Mud Pans, Hawks, Bucket Scoop, Mixing Paddle",44,STAINLESS,,,Premium Knives & Trowels,Mud Pans & Hawks,Mud Pan,,,0
MP14SSTT,"Mud Pans, Hawks, Bucket Scoop, Mixing Paddle",44,"Mud Pans, Hawks, Bucket Scoop, Mixing Paddle",,,Premium Knives & Trowels,Mud Pans & Hawks,Mud Pan,,,0
MT01TT,Tools of the Trade,45,9-in-1 Stainless Steel Multi-tool,,,Tools of the Trade,Multi-tools,9-in-1 Stainless Steel Multi-tool,,,0
NSW01,Nail Spotters,18,Wheel Kit - Nailspotter,Wheel Kit - Nailspotter,"TapeTech Nail Spotter Wheel Kit NSW01 This wheel kit is designed to make finishing faster, smoother, and less fatiguing.",,,,,,0
PKL001,Tools of the Trade,45,Pocket Kicker Lift Tool,,,Tools of the Trade,Lift Tools,Pocket Kicker Lift Tool,,,0
PMP001,"Mud Pans, Hawks, Bucket Scoop, Mixing Paddle",44,"30"" Premium Paddle Mixer","30"" Premium Paddle Mixer","30"" Premium Paddle Mixer The TapeTech PMP001 30′′ Premium Mixing Paddle uses the ideal geometry to quickly mix joint compound, concrete, stucco, EIFS, and grout...",Tools of the Trade,Mixing Paddle,Mixing Paddle,,,0
RTC20TT,Radius Trowels,43,"TapeTech 20"" Radius Trowel - Curved","TapeTech 20"" Radius Trowel - Curved","TapeTech 20"" Radius Trowel - Curved RTC20TT TapeTech offers NEW Curved Radius Trowels that are sure to please with their sleek design and traditional look.",,,,,,0
RTC26TT,Radius Trowels,43,"TapeTech 26"" Radius Trowel - Curved","TapeTech 26"" Radius Trowel - Curved","TapeTech 26"" Radius Trowel - Curved RTC26TT TapeTech offers NEW Curved Radius Trowels that are sure to please with their sleek design and traditional look.",,,,,,0
RTS20TT,Radius Trowels,43,"TapeTech 20"" Radius Trowel - Straight","TapeTech 20"" Radius Trowel - Straight","TapeTech 20"" Radius Trowel - Straight RTS20TT TapeTech offers NEW Straight Radius Trowels that are sure to please with their sleek design and traditional look.",,,,,,0
RTS26TT,Radius Trowels,43,"TapeTech 26"" Radius Trowel - Straight","TapeTech 26"" Radius Trowel - Straight","TapeTech 26"" Radius Trowel - Straight RTS26TT TapeTech offers NEW Straight Radius Trowels that are sure to please with their sleek design and traditional look.",,,,,,0
T-RAXX-LP,T-RAXX Tool Rack System,60,T-RAXX Loading Pump Holder,,,,,,,,0
T-RAXX-RG,T-RAXX Tool Rack System,60,T-RAXX Reducer Gasket,,,,,,,,0
