brand,official_sku,normalized_sku,product_name,alternate_names,section,catalog_item_type,launch_candidate,source_pdf,source_pdf_pages,source_catalog_pages,source_item_nos,source_lines,extraction_methods,source_validation,price,price_source,notes,removal_reason
TapeTech,501RSE,501RSE,Corner Roller Replacement Kit - 15TTE,,Corner Rollers / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,8,16,501RSE,"501RSE - Corner Roller Replacement Kit–15TTE FHTT, XHTT, FHTT-CC (see page 36)",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,600005F,600005F,"2"" Nail Spotter Blade - Carbide",,Nail Spotters / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,10,18,600005F,"600005F - 2"" Nail Spotter Blade - Carbide",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=common_wear_part; parts/maintenance kit match
TapeTech,630015,630015,"2"" Wiper",,Nail Spotters / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,10,18,630015,"630015 - 2"" Wiper FHTT, XHTT, FHTT-CC (see page 36)",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=common_wear_part; parts/maintenance kit match
TapeTech,650005F,650005F,"3"" Nail Spotter Blade - Carbide",,Nail Spotters / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,10,18,650005F,"650005F - 3"" Nail Spotter Blade - Carbide",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=common_wear_part; parts/maintenance kit match
TapeTech,681015,681015,"3"" Wiper",,Nail Spotters / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,10,18,681015,"681015 - 3"" Wiper",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=common_wear_part; parts/maintenance kit match
TapeTech,350008,350008,"8"" Wiper",,Corner Applicators / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,11,19,350008,"500028 - 7"" Wiper 350008 - 8"" Wiper FHTT, XHTT, FHTT-CC (see page 36)",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=common_wear_part; parts/maintenance kit match
TapeTech,500028,500028,"7"" Wiper",,Corner Applicators / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,11,19,500028,"500028 - 7"" Wiper 350008 - 8"" Wiper FHTT, XHTT, FHTT-CC (see page 36)",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=common_wear_part; parts/maintenance kit match
TapeTech,144001,144001,MudRunner Tube Replacement Kit,,MudRunner Pro / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,13,21,144001,"144001 - MudRunner Tube Replacement Kit 16TT, 16TT90, CH55TT, CH75TT, CH83TT, CH90TT, 40XTT, 42TT, 48TT,",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,400009F,400009F,"2"" Carbide Blade",,Corner Finishers / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,14,22,400009F,"502F25 - 2.5"" Corner Finisher Blade Change Kit (42TT) 400009F - 2"" Carbide Blade",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=common_wear_part; parts/maintenance kit match
TapeTech,420009,420009,"2.5"" Carbide Blade",,Corner Finishers / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,14,22,420009,"501F25A - 2” & 2.5” Corner Finisher Maintenance Kit (40XTT & 42TT) 420009 - 2½"" Carbide Blade",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=common_wear_part; parts/maintenance kit match
