brand,name,sku,upc
Columbia Taping Tools,Columbia Complete Pro Set,CT-PRO,810135984355
Columbia Taping Tools,Columbia Corner Roller with Extendable Handle,GCR & R-0001,810135984324
Columbia Taping Tools,Columbia Pro Extendable Finishing Set,C-PFS,
Columbia Taping Tools,Columbia Standard Outside 90 Corner Bead Roller,COBCR,824149000796
Columbia Taping Tools,Columbia Starter Drywall Finishing Set,70108,810135981095
Columbia Taping Tools,Columbia Superwide Outside 90 Corner Bead Roller,COBCRW,810135986212
Columbia Taping Tools,Columbia Tomahawk Smoothing Blade Extendable Handle,GC1HEXT/CLTHA,810135983747
Columbia Taping Tools,Columbia Tomahawk Smoothing Blade Fixed Handle,C1H/CLTHA,810135983723
Columbia Taping Tools,Columbia Tomahawk Warrior Set,TWS,824149010221
Columbia Taping Tools,Columbia Tomalock Smoothing Blade Adaptor Tomahawk Handle,CLTHA,824149010023
Columbia Taping Tools,Columbia Tools Drywall Outside Corner Bead Mud Applicator,OA90,824149009164
