Catalog,SKU,Type,Name,Image,Filename,Reason,Action,LocalPath
products\Production\launch\wc-product-export-current.csv,4-772,simple,LEVEL5 MiniShot,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_772_01.webp,level5_4_772_01.webp,min_corner_mean=156.8;min_channel=154.4;corner_spread=98.2,kept_no_white_replacement,products\Production\launch\launch_images\level5_4_772_01.webp
products\Production\launch\wc-product-export-current.csv,4-772,simple,LEVEL5 MiniShot,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_772_02.webp,level5_4_772_02.webp,min_corner_mean=131.2;min_channel=130.9;corner_spread=123.8,kept_no_white_replacement,products\Production\launch\launch_images\level5_4_772_02.webp
products\Production\launch\wc-product-export-current.csv,4-773,simple,LEVEL5 MiniShot Ext. Handle,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_772_01.webp,level5_4_772_01.webp,min_corner_mean=156.8;min_channel=154.4;corner_spread=98.2,kept_no_white_replacement,products\Production\launch\launch_images\level5_4_772_01.webp
products\Production\launch\wc-product-export-current.csv,4-773,simple,LEVEL5 MiniShot Ext. Handle,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_772_02.webp,level5_4_772_02.webp,min_corner_mean=131.2;min_channel=130.9;corner_spread=123.8,kept_no_white_replacement,products\Production\launch\launch_images\level5_4_772_02.webp
products\Production\launch\wc-product-export-current.csv,4-600P,variation,LEVEL5 Entry to Automatic Finishing Set - With Automatic Taper,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_600p_01.webp,level5_4_600p_01.webp,min_corner_mean=196.4;min_channel=190.1;corner_spread=39.3,kept_no_white_replacement,products\Production\launch\launch_images\level5_4_600p_01.webp
products\Production\launch\wc-product-export-current.csv,4-602,variation,LEVEL5 Entry to Automatic Finishing Set - Tools Only,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_602_01.webp,level5_4_602_01.webp,min_corner_mean=211.4;min_channel=208.0;corner_spread=43.6,kept_no_white_replacement,products\Production\launch\launch_images\level5_4_602_01.webp
products\Production\launch\wc-product-export-current.csv,4-661P,simple,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_760_01.webp,level5_4_760_01.webp,min_corner_mean=147.9;min_channel=144.7;corner_spread=107.1,removed,products\Production\launch\launch_images\level5_4_760_01.webp
products\Production\launch\wc-product-export-current.csv,4-661P,simple,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_733_01.webp,level5_4_733_01.webp,min_corner_mean=161.8;min_channel=161.4;corner_spread=93.2,removed,products\Production\launch\launch_images\level5_4_733_01.webp
products\Production\launch\wc-product-export-current.csv,4-661P,simple,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_5_623_01.webp,level5_5_623_01.webp,min_corner_mean=124.3;min_channel=123.4;corner_spread=125.9,removed,products\Production\launch\launch_images\level5_5_623_01.webp
products\Production\launch\wc-product-export-current.csv,4-630,simple,LEVEL5 The Starter Taping Set,https://drywalltoolbox.com/wp-content/uploads/2026/media/level5_4_630_01.webp,level5_4_630_01.webp,min_corner_mean=173.8;min_channel=166.9;corner_spread=81.2,removed,products\Production\launch\launch_images\level5_4_630_01.webp
