category_name,subcategory_or_tool,tool_title,tool_url,gallery_index,source_url,saved_path,file_size,sha256,content_type,assigned_sku,assigned_name,assignment_reason,normalized_path
Angleheads,3.5″ Anglehead,3.5″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/3-5-anglehead/,1,https://www.columbiatools.com/wp-content/uploads/2022/03/3.5_Angle_Head_3.5CF.jpg,angleheads/3-5-anglehead/3-5-anglehead_01.jpg,44898,c87b51d15106ab0893893e3440365051644db42943d162b6743e1b12c9536508,image/jpeg,3.5AH,"Columbia 3.5"" Anglehead (3.5AH)",single_candidate,angleheads/3-5-anglehead/columbia-3-5-inch-anglehead-3.5AH-01.webp
Angleheads,3.5″ Anglehead,3.5″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/3-5-anglehead/,2,https://www.columbiatools.com/wp-content/uploads/2022/03/angleheadbacksquare-1.jpg,angleheads/3-5-anglehead/3-5-anglehead_02.jpg,152693,c686d3bb839d80502862889c20ab0edd61a0c5730c6a36e83aa2134043331ced,image/jpeg,3.5AH,"Columbia 3.5"" Anglehead (3.5AH)",single_candidate,angleheads/3-5-anglehead/columbia-3-5-inch-anglehead-3.5AH-02.webp
Angleheads,3.5″ Anglehead,3.5″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/3-5-anglehead/,3,https://www.columbiatools.com/wp-content/uploads/2022/03/Angle_Head_all_Sizes_AH_-1-1.jpg,angleheads/3-5-anglehead/3-5-anglehead_03.jpg,57802,53acb999888872efa7e399fb82548f57d89504a4e6b6ada884c0cd0159c713bb,image/jpeg,3.5AH,"Columbia 3.5"" Anglehead (3.5AH)",single_candidate,angleheads/3-5-anglehead/columbia-3-5-inch-anglehead-3.5AH-03.webp
Angleheads,3.5″ Anglehead,3.5″ Anglehead,https://www.columbiatools.com/columbia-tools/angleheads/3-5-anglehead/,4,https://www.columbiatools.com/wp-content/uploads/2022/03/5yearwarrantysmall-1.jpg,angleheads/3-5-anglehead/3-5-anglehead_04.jpg,111453,c373c43876b14e9fa761e291605f7a2c6db4f10bb9ef31a817d62c0118f6de91,image/jpeg,3.5AH,"Columbia 3.5"" Anglehead (3.5AH)",single_candidate,angleheads/3-5-anglehead/columbia-3-5-inch-anglehead-3.5AH-04.webp
Angleheads,Anglehead Adaptor,Anglehead Adaptor,https://www.columbiatools.com/columbia-tools/angleheads/anglehead-adaptor/,1,https://www.columbiatools.com/wp-content/uploads/2022/03/aha.jpg,angleheads/anglehead-adaptor/anglehead-adaptor_01.jpg,27401,31b01b6d2172e0f82525eccec5156b01ca59881ed8289da7669fd9c761db5686,image/jpeg,AHA,Columbia Anglehead Adaptor (AHA),single_candidate,angleheads/anglehead-adaptor/columbia-anglehead-adaptor-AHA-01.webp
Angleheads,Anglehead Adaptor,Anglehead Adaptor,https://www.columbiatools.com/columbia-tools/angleheads/anglehead-adaptor/,2,https://www.columbiatools.com/wp-content/uploads/2022/03/5yearwarrantysmall-1.jpg,angleheads/anglehead-adaptor/anglehead-adaptor_02.jpg,111453,c373c43876b14e9fa761e291605f7a2c6db4f10bb9ef31a817d62c0118f6de91,image/jpeg,AHA,Columbia Anglehead Adaptor (AHA),single_candidate,angleheads/anglehead-adaptor/columbia-anglehead-adaptor-AHA-02.webp
Nailspotters,2″ Nailspotter,2″ Nailspotter,https://www.columbiatools.com/columbia-tools/nailspotters/2-nailspotter/,1,https://www.columbiatools.com/wp-content/uploads/2022/03/2023Nailspotter2inch.jpg,nailspotters/2-nailspotter/2-nailspotter_01.jpg,246525,a2d370c9ade4e68c3e1537adb9ec37a6442251970d0d1ae84c22b15a7a2d4512,image/jpeg,2NS,"Columbia 2"" Nailspotter (2NS)",single_candidate,nailspotters/2-nailspotter/columbia-2-inch-nailspotter-2NS-01.webp
Nailspotters,2″ Nailspotter,2″ Nailspotter,https://www.columbiatools.com/columbia-tools/nailspotters/2-nailspotter/,2,https://www.columbiatools.com/wp-content/uploads/2022/03/5yearwarrantysmall-1.jpg,nailspotters/2-nailspotter/2-nailspotter_02.jpg,111453,c373c43876b14e9fa761e291605f7a2c6db4f10bb9ef31a817d62c0118f6de91,image/jpeg,2NS,"Columbia 2"" Nailspotter (2NS)",single_candidate,nailspotters/2-nailspotter/columbia-2-inch-nailspotter-2NS-02.webp
Nailspotters,3″ Nailspotter,3″ Nailspotter,https://www.columbiatools.com/columbia-tools/nailspotters/3-nailspotter/,1,https://www.columbiatools.com/wp-content/uploads/2022/03/2023Nailspotter3inch.jpg,nailspotters/3-nailspotter/3-nailspotter_01.jpg,280942,2af288c4c9ec87bf8b2b429caa2762572bffb3c7b1633d9fe1797812d903a429,image/jpeg,3NS,"Columbia 3"" Nailspotter (3NS)",single_candidate,nailspotters/3-nailspotter/columbia-3-inch-nailspotter-3NS-01.webp
Nailspotters,3″ Nailspotter,3″ Nailspotter,https://www.columbiatools.com/columbia-tools/nailspotters/3-nailspotter/,2,https://www.columbiatools.com/wp-content/uploads/2022/03/5yearwarrantysmall-1.jpg,nailspotters/3-nailspotter/3-nailspotter_02.jpg,111453,c373c43876b14e9fa761e291605f7a2c6db4f10bb9ef31a817d62c0118f6de91,image/jpeg,3NS,"Columbia 3"" Nailspotter (3NS)",single_candidate,nailspotters/3-nailspotter/columbia-3-inch-nailspotter-3NS-02.webp
Corner Tools,8 Inch Throttle Box,8 Inch Throttle Box,https://www.columbiatools.com/columbia-tools/corner-boxes/8-throttle-box/,1,https://www.columbiatools.com/wp-content/uploads/2022/03/throttlebox8small.jpg,corner-boxes/8-throttle-box/8-throttle-box_01.jpg,172659,e2057b54c8bfd404a3d2c1ff14bccfc8f43faece8e3635fec08ca75488044a18,image/jpeg,8CFB,"Columbia 8"" Throttle Box (8CFB)",single_candidate,corner-boxes/8-throttle-box/columbia-8-inch-throttle-box-8CFB-01.webp
Corner Tools,8 Inch Throttle Box,8 Inch Throttle Box,https://www.columbiatools.com/columbia-tools/corner-boxes/8-throttle-box/,2,https://www.columbiatools.com/wp-content/uploads/2022/03/throttleboxhandlesmall.jpg,corner-boxes/8-throttle-box/8-throttle-box_02.jpg,140901,ffd523d3bc36b99da0ffe4e4ba5a24eedfff042f773c45a3c8a4ed8ecab92f85,image/jpeg,8CFB,"Columbia 8"" Throttle Box (8CFB)",single_candidate,corner-boxes/8-throttle-box/columbia-8-inch-throttle-box-8CFB-02.webp
Corner Tools,8 Inch Throttle Box,8 Inch Throttle Box,https://www.columbiatools.com/columbia-tools/corner-boxes/8-throttle-box/,3,https://www.columbiatools.com/wp-content/uploads/2022/03/throttleboxbacksmall.jpg,corner-boxes/8-throttle-box/8-throttle-box_03.jpg,197163,6bf3a5d53d5faee0140d72339ca6df682d3de459fc91feb754e91cdbc6b911b0,image/jpeg,8CFB,"Columbia 8"" Throttle Box (8CFB)",single_candidate,corner-boxes/8-throttle-box/columbia-8-inch-throttle-box-8CFB-03.webp
Corner Tools,8 Inch Throttle Box,8 Inch Throttle Box,https://www.columbiatools.com/columbia-tools/corner-boxes/8-throttle-box/,4,https://www.columbiatools.com/wp-content/uploads/2022/03/5yearwarrantysmall-1.jpg,corner-boxes/8-throttle-box/8-throttle-box_04.jpg,111453,c373c43876b14e9fa761e291605f7a2c6db4f10bb9ef31a817d62c0118f6de91,image/jpeg,8CFB,"Columbia 8"" Throttle Box (8CFB)",single_candidate,corner-boxes/8-throttle-box/columbia-8-inch-throttle-box-8CFB-04.webp
