schematic_id,source_json,old_name,new_name
columbia-cam-lock-tube-sch,Columbia/Schematics/CompoundTubes/CamLockTube/schematic_data.json,CAM-LOCK-TUBE-SCHEMATIC.webp,columbia-cam-lock-tube-sch-schematic-page-01.webp
columbia-closet-monster-handle-sch,Columbia/Schematics/Handles/ClosetMonster/schematic_data.json,CLOSETMONSTER-SCHEMATIC.webp,columbia-closet-monster-handle-sch-schematic-page-01.webp
columbia-combo-flusher-3-3csf-sch,Columbia/Schematics/Sanders/SanderHead/schematic_data.json,SANDER-HEAD-SCHEMATIC.webp,columbia-combo-flusher-3-3csf-sch-schematic-page-01.webp
columbia-combo-flusher-sch,Columbia/Schematics/CornerFlushers/ComboFlusher/schematic_data.json,CLASSIC-COMBO-FLUSHER-1-SCHEMATIC.webp,columbia-combo-flusher-sch-schematic-page-01.webp
columbia-compound-tube-sch,Columbia/Schematics/CompoundTubes/CompoundTube/schematic_data.json,COMPOUND-TUBE-SCHEMATIC.webp,columbia-compound-tube-sch-schematic-page-01.webp
columbia-corner-cobra-sch,Columbia/Schematics/CornerRollers/CornerCobra/schematic_data.json,CORNER-COBRA-SCHEMATIC.webp,columbia-corner-cobra-sch-schematic-page-01.webp
columbia-corner-roller-sch,Columbia/Schematics/CornerRollers/InsideCornerRoller/schematic_data.json,INSIDECORNERROLLER-2014-1-SQUARED-SCHEMATIC.webp,columbia-corner-roller-sch-schematic-page-01.webp
columbia-direct-flusher-sch,Columbia/Schematics/CornerFlushers/DirectCornerFlusher/schematic_data.json,DIRECTSTANDARDFLUSHER-SCHEMATIC.webp,columbia-direct-flusher-sch-schematic-page-01.webp
columbia-fat-boy-finishing-box-sch,Columbia/Schematics/FinishingBoxes/FatBoyBox/schematic_data.json,FAT-BOY-BOX-SCHEMATIC.webp,columbia-fat-boy-finishing-box-sch-schematic-page-01.webp
columbia-flat-finishing-box-sch,Columbia/Schematics/FinishingBoxes/FlatBox/schematic_data.json,FLAT-BOX-HINGED-SCHEMATIC.webp,columbia-flat-finishing-box-sch-schematic-page-01.webp
columbia-gooseneck-sch,Columbia/Schematics/Pumps/GooseneckAdapter/schematic_data.json,GOOSENECK-1-1-SCHEMATIC.webp,columbia-gooseneck-sch-schematic-page-01.webp
columbia-matrix-box-handle-matrixboxhandle-boxhandle-sch,Columbia/Schematics/Handles/MatrixBoxHandle/BoxHandle/schematic_data.json,MATRIX-HANDLE-SCHEMATIC.webp,columbia-matrix-box-handle-matrixboxhandle-boxhandle-sch-schematic-page-01.webp
