Import complete! 27 products imported. 27 variations imported. Failed to import 281 products. View import log. File uploaded: product-dtb_woocommerce_official_catalog_optimized-hklsnwn5og.csv
Product	Reason for failure
Columbia Box Filler, SKU COL-BOX-FILLER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-bf-01.webp. Error: Not Found
Columbia Box Filler - Standard, SKU BF	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-bf-01.webp. Error: Not Found
Columbia Box Filler - Tall Boy, SKU TBBF	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-tbbf-01.webp. Error: Not Found
Columbia Gooseneck, SKU COL-GOOSENECK	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-gn-01.webp. Error: Not Found
Columbia Gooseneck - Standard, SKU GN	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-gn-01.webp. Error: Not Found
Columbia Gooseneck - Tall Boy, SKU TBGN	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-tbgn-01.webp. Error: Not Found
Columbia One Handle, SKU COL-ONE-HANDLE	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-c1h-01.webp. Error: Not Found
Columbia One Handle - Fixed, SKU C1H	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-c1h-01.webp. Error: Not Found
Columbia One Handle - Extendible 3'-5', SKU C1HEXT	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-c1hext-01.webp. Error: Not Found
Columbia One Handle - Long Extendible 4'-8', SKU CHXL	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-chxl-01.webp. Error: Not Found
Columbia One Handle - Stubby, SKU C1HS	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-c1h-01.webp. Error: Not Found
Columbia Outside Corner Roller, SKU COL-OUTSIDE-CORNER-ROLLER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cobcr-01.webp. Error: Not Found
Columbia Outside Corner Roller - Standard, SKU COBCR	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cobcr-01.webp. Error: Not Found
Columbia Outside Corner Roller - Bullnose, SKU CBNCR	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cbncr-01.webp. Error: Not Found
Columbia Outside Corner Roller - European, SKU COBCRE	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cobcre-01.webp. Error: Not Found
Columbia Outside Corner Roller - Wide, SKU COBCRW	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cobcrw-01.webp. Error: Not Found
Columbia Billet Mud Applicator, SKU COL-BILLET-MUD-APPLICATOR	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-ica21-01.webp. Error: Not Found
Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1", SKU ICA2-1	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-ica21-01.webp. Error: Not Found
Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1", SKU ICA4-1	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-ica41-01.webp. Error: Not Found
Columbia Billet Mud Applicator - External 90, SKU CEXT90	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cext90-01.webp. Error: Not Found
Columbia Billet Mud Applicator - Flat, SKU CFLT	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cflt-01.webp. Error: Not Found
Columbia UHMW Mud Applicator, SKU COL-UHMW-MUD-APPLICATOR	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-fmh-01.webp. Error: Not Found
Columbia UHMW Mud Applicator - L-Trim, SKU FMH	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-fmh-01.webp. Error: Not Found
Columbia UHMW Mud Applicator - Inside 90°, SKU IA90	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-ia90-01.webp. Error: Not Found
Columbia UHMW Mud Applicator - Outside 90°, SKU OA90	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-ia90-01.webp. Error: Not Found
Columbia UHMW Mud Applicator - Outside 90° 325, SKU OA90-325	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-fmh-01.webp. Error: Not Found
Columbia Compound Tube, SKU COL-COMPOUND-TUBE	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cmt24-01.webp. Error: Not Found
Columbia Compound Tube - 24", SKU CMT24	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cmt24-01.webp. Error: Not Found
Columbia Compound Tube - 32", SKU CMT32	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cmt24-01.webp. Error: Not Found
Columbia Compound Tube - 42", SKU CMT42	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cmt24-01.webp. Error: Not Found
Columbia Compound Tube - 55", SKU CMT55	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-cmt24-01.webp. Error: Not Found
Columbia Cam Lock Tube, SKU COL-CAM-LOCK-TUBE	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-clt24-01.webp. Error: Not Found
Columbia Cam Lock Tube - 24", SKU CLT24	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-clt24-01.webp. Error: Not Found
Columbia Cam Lock Tube - 32", SKU CLT32	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-clt24-01.webp. Error: Not Found
Columbia Cam Lock Tube - 42", SKU CLT42	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-clt24-01.webp. Error: Not Found
Columbia Cam Lock Tube - 55", SKU CLT55	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-clt24-01.webp. Error: Not Found
Columbia Tomahawk Smoothing Blade, SKU COL-TOMAHAWK-SMOOTHING-BLADE	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-tsb7-01.webp. Error: Not Found
Columbia Tomahawk Smoothing Blade - 7", SKU TSB-7	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-tsb7-01.webp. Error: Not Found
Columbia Tomahawk Smoothing Blade - 10", SKU TSB-10	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-tsb10-01.webp. Error: Not Found
Columbia Tomahawk Smoothing Blade - 12", SKU TSB-12	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-tsb12-01.webp. Error: Not Found
Columbia Tomahawk Smoothing Blade - 14", SKU TSB-14	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-tsb14-01.webp. Error: Not Found
Columbia Tomahawk Smoothing Blade - 18", SKU TSB-18	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-tsb18-01.webp. Error: Not Found
Columbia Tomahawk Smoothing Blade - 24", SKU TSB-24	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-tsb24-01.webp. Error: Not Found
Columbia Tomahawk Smoothing Blade - 32", SKU TSB-32	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-tsb32-01.webp. Error: Not Found
Columbia Tomahawk Smoothing Blade - 40", SKU TSB-40	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-tsb40-01.webp. Error: Not Found
Columbia Tomahawk Smoothing Blade - 48", SKU TSB-48	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-tsb48-01.webp. Error: Not Found
Columbia Predator One Handle, SKU COL-PREDATOR-ONE-HANDLE	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-c1h-01.webp. Error: Not Found
Columbia Predator One Handle - 4' Fixed, SKU PC1H	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-c1h-01.webp. Error: Not Found
Columbia Predator One Handle - Extendable 3'-5', SKU PC1HEXT	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-pc1hext-01.webp. Error: Not Found
Columbia Predator One Handle - Long Extendable 4'-8', SKU PCHXL	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-pchxl-01.webp. Error: Not Found
Columbia Predator Matrix Handle, SKU COL-PREDATOR-MATRIX-HANDLE	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-pmhs-01.webp. Error: Not Found
Columbia Predator Matrix Handle - Short 29"-39", SKU PMHS	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-pmhs-01.webp. Error: Not Found
Columbia Predator Matrix Handle - 40"-60", SKU PMH	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-col-predator-matrix-box-handle-01.webp. Error: Not Found
