action,from,to,note
rename,frontend\public\brands\wp_schematics_unified\TOMAHAWK-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics_unified\TOMAHAWK-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\XH-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\XH-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Adapters\FA01-AD\images\FA01-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Adapters\FA01-AD\images\FA01-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\AngleHeads\AH25-AD\images\AH25-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\AngleHeads\AH25-AD\images\AH25-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\AngleHeads\AH30-AD\images\AH30-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\AngleHeads\AH30-AD\images\AH30-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\AngleHeads\AH35-AD\images\AH35-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\AngleHeads\AH35-AD\images\AH35-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\AngleHeads\CA08-AD\images\CA08-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\AngleHeads\CA08-AD\images\CA08-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\AngleHeads\CFA-AD\images\CFA-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\AngleHeads\CFA-AD\images\CFA-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\EHC07-AD\images\EHC07-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\EHC07-AD\images\EHC07-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\EHC10-AD\images\EHC10-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\FinishingBoxes\EHC10-AD\images\EHC10-AD-SCHEMATIC-PAGE-001.webp,canonicalize
