image,matched,prod_part_number,prod_name,prod_brand,schem_part_id,schem_part_sku,schem_part_name,schem_source
724061F,yes,,,,"41","724061F","Clamp Assy. (Clamp + Keeper)","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
724065,yes,,,,"4","724065","Quick Release Pin","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
726018,yes,,,,"52","726018","Pump Handle Assembly","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
728001F,yes,,,,"17","728001F","Easy Clean Pump Head","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
729051,yes,,,,"45","729051","Hex Head Cap Screw","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
729060,yes,,,,"21","729060","'O' Ring","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
729063,yes,,,,"30","729063","Screw 8-32 x 3/16 Bind HD. S.M.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
729064,yes,,,,"42","729064","Screw, 8-32 x 3/8 Bd. Hd. SST.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
880028,yes,,,,"880028","880028","Compression Spring","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
880042,yes,,,,"880042","880042","Rubber Grip Handle","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
880053,yes,,,,"880053","880053","Lock Block","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
882001G,yes,,,,"882001G","882001G","Exterior Tube","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
882002,yes,,,,"882002","882002","Profile Extrusion","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
882011B,yes,,,,"882011B","882011B","Actuator","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
882012,yes,,,,"882012","882012","Actuator-Clip Pin","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
882013,yes,,,,"882013","882013","Locking Pin","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
882014,yes,,,,"882014","882014","Locking Clip","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
882016,yes,,,,"882016","882016","Guide Plug","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
882039,yes,,,,"882039","882039","Spring Housing","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
883021,yes,,,,"883021","883021","NS Adapter Jam Nut","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
883022,yes,,,,"883022","883022","NS Adapter","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
883023,yes,,,,"883023","883023","NS Adapter Clamp","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
884003B,yes,,,,"884003B","884003B","Handle Bracket","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
889009,yes,,,,"889009","889009","5/32 x 1 Slotted Spring Pin","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
889017,yes,,,,"889017","889017","Conical Spring","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
889035,yes,,,,"889035","889035","#6-32 x 1/4 Slotted Pan Head Screw","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
910005,yes,,,,"910005","910005","Knob","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
910037,yes,,,,"910037","910037","Corner Roller Adapter","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\88TTR_SCH_hotspots\schematic_data.json"
