sku,brand,name,old_price,old_price_numeric,new_price,new_price_numeric
dewdce800b,DeWalt,Dewalt 20V MAX* Cordless Drywall Sander (Tool Only),,,$475.00,475
dew69663100,DeWalt,Steel Ball,,,$1.93,1.93
dewdwv9316,DeWalt,15' Anti-Static Hose for DeWalt Dust Extractor,,,$58.38,58.38
dewn435687,DeWalt,Belt Hook for DCF620,,,$4.28,4.28
dewdwv015,DeWalt,DeWalt 10GAL Dust Extractor HEPA w/ Auto Clean,,,$700.00,700
dewdwht20540,DeWalt,DeWALT Jab Saw,,,$17.97,17.97
dew65521302,DeWalt,Brushes For DW130V Dewalt,,,$5.85,5.85
dewd28715,DeWalt,DeWALT 14 in Chop Saw w/ QUICK-CHANGE Keyless Blade Change System,,,$239.00,239
dewdw089lg,DeWalt,DeWALT 12V MAX* 3 x 360 Green Line Laser,,,$499.00,499
dewn435495,DeWalt,Nose Cone Assembly,,,$24.34,24.34
dewdcd130t1,DeWalt,DeWALT 60V MAX Mixer/Drill w/ E-Clutch System Kit,,,$449.00,449
dewdcf630b,DeWalt,DeWalt 20V MAX* Brushless Drywall Screw Gun (Tool Only),,,$165.00,165
dewdce555b,DeWalt,DeWalt 20V Brushless Drywall Cordless Cut-Out Tool,,,$165.00,165
dewdwht80276,DeWalt,Carbon Fiber Composite Staple Gun,,,$35.99,35.99
dewdgn845b,DeWalt,DeWalt 20V MAX* XR Trak-It C6 Gas Nailer (Bare Only),,,$290.00,290
dewdcf630d2,DeWalt,DeWalt 20V MAX* XR Brushless Drywall Screwgun Kit (2.0Ah),,,$129.00,129
dewdce800p2,DeWalt,Dewalt 20V MAX* Cordless Drywall Sander Kit,,,$149.00,149
dewdwafv8918,DeWalt,FLEXVOLTÂ® Ceramic Metal Cutoff Wheel Type 1,,,$249.00,249
golg05000,Goldblatt,"12"" Taping Knife",,,$11.00,11
golg05003,Goldblatt,"14"" Blue Steel Taping Knife",,,$10.00,10
golg05644,Goldblatt,"14"" Stainless Steel Taping Knife",,,$12.00,12
golg05636,Goldblatt,"6"" Stainless Steel Taping Knife",,,$5.00,5
golg05001,Goldblatt,"8"" Taping Knife",,,$7.00,7
gol05750,Goldblatt,"Goldblatt Stainless Steel Ultra Flexible Taping Knife - 10""",,,$9.00,9
hyd02770,Hyde Tools,5 in HYDE Tools Flexible Black & Silver Hammer Head Joint Knife,,,$13.00,13
hyd02870,Hyde Tools,6 in HYDE Tools Flexible Black & Silver Hammer Head Joint Knife,,,$14.00,14
hyd02570,Hyde Tools,4 in HYDE Tools Flexible Black & Silver Hammer Head Joint Knife,,,$12.00,12
hyd06878,Hyde Tools,6 in HYDE Tools Flexible Pro Stainless Joint Knife,,,$15.25,15.25
hyd06778,Hyde Tools,5 in HYDE Tools Flexible Pro Stainless Joint Knife,,,$14.40,14.4
hyd06578,Hyde Tools,4 in HYDE Tools Flexible Pro Stainless Joint Knife,,,$13.20,13.2
kradw722,Kraft,12 in Kraft Tools Heli-Arc EZ-Grip Stainless Steel Mud Pan,,,$32.00,32
kradw724,Kraft,14 1/4 in Kraft Tools Heli-Arc EZ-Grip Stainless Steel Mud Pan,,,$40.00,40
kradc401,Kraft,Kraft Tools Drywall Taper w/ Wood & Web Right Handle,,,$185.00,185
mar15215,Marshalltown Trowel,13 in x 13 in Marshalltown Aluminum Hawk w/ DuraSoft Handle,,,$29.00,29
mar14325,Marshalltown Trowel,"12"" Stainless Steel Taping Knife with DuraSoft Handle",,,$21.00,21
mar14327,Marshalltown Trowel,"14"" Stainless Steel Taping Knife with DuraSoft Handle",,,$19.00,19
mar14323,Marshalltown Trowel,"10"" Stainless Steel Taping Knife with DuraSoft Handle",,,$20.00,20
stt33725,Stanley,25 ft STANLEY FATMAX Tape Measure - Yellow/Black,,,$22.00,22
stt33425,Stanley,25 ft STANLEY Tools PowerLock Tape Measure - Chrome,,,$20.00,20
stt33730,Stanley,30 ft STANLEY FATMAX Tape Measure - Yellow/Black,,,$26.00,26
ttt88tte,TapeTech,41 in - 63 in TapeTech XTender Finishing Box Handle,,,$370.00,370
tttez12tt,TapeTech,12 in TapeTech EasyClean Finishing Box,,,$425.00,425
tttez10tt,TapeTech,"10"" EasyClean Finishing Box",,,$389.00,389
ttt76tt,TapeTech,TapeTech EasyClean Loading Pump,,,$399.00,399
tttxhtt,TapeTech,TapeTech Extension Handle,,,$379.00,379
ttt90tt,TapeTech,TapeTech Filler Adapter,,,$80.00,80
ttt07tt,TapeTech,TapeTech EasyClean Automatic Taper,,,$1599.00,1599
