brand,product_name,part_number,url,image_url,short_description,category,specifications
Full Circle,8 3/4 in Full Circle Level360 Sanding Disc - 120 Grit,FCISD120,https://www.tswfast.com/product/FCSD120?categoryCode=brand_FullCircle,https://s3-us-west-2.amazonaws.com/gtsinteriorsupplycomfiles/product/MD-FC100_D.jpg,,,"{""PART"": ""FCISD120"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources Our aluminum oxide paper is clog resistant and self sharpening for longer life. Loop backed sandpaper firmly attaches to the foam disc, preventing debris from collecting behind the sandpaper, and eliminating a major cause of streaking. 5 pcs/ctn"", ""spec_source"": ""html""}"
Full Circle,8 3/4 in Full Circle Radius360 Standard Density Foam Replacement Pads,FCIRPSTD,https://www.tswfast.com/product/FCRPSTD?categoryCode=brand_FullCircle,https://s3.amazonaws.com/tamarackmaterialsfiles/product/MD-fullcircle_radius360_replacementpad.jpg,,,"{""PART"": ""FCIRPSTD"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources The detachable foam disc forms to the wall, providing a smooth, even finish. Unlike the conventional sand pole, this foam disc wears evenly, greatly increasing the life of the tool. Replacement pads utilize hook and loop backing making for easy replacement. Features Thickness: 1/2\"""", ""Features"": [""Thickness: 1/2\""""], ""spec_source"": ""html""}"
Full Circle,8 3/4 in Full Circle Level360 Sanding Disc - 180 Grit,FCISD180,https://www.tswfast.com/product/FCSD180?categoryCode=brand_FullCircle,https://s3-us-west-2.amazonaws.com/gtsinteriorsupplycomfiles/product/MD-FC100_D.jpg,,,"{""PART"": ""FCISD180"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources Our aluminum oxide paper is clog resistant and self sharpening for longer life. Loop backed sandpaper firmly attaches to the foam disc, preventing debris from collecting behind the sandpaper, and eliminating a major cause of streaking. 5 pcs/ctn"", ""spec_source"": ""html""}"
Full Circle,"Full Circle 8 3/4"" Sanding Discs 240 Grit (25/pack)",FCISD240,https://www.tswfast.com/product/FCSD240?categoryCode=brand_FullCircle,https://s3.amazonaws.com/gmscom/master/media-common/product/FC_SP_med.jpg,,,"{""PART"": ""FCISD240"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources Full Circle aluminum oxide paper is clog resistant and self sharpening for longer life. Loop backed sandpaper firmly attaches to the foam disc, preventing debris from collecting behind the sandpaper, and eliminating a major cause of streaking 25 discs/pack"", ""spec_source"": ""html""}"
Full Circle,8 3/4 in Full Circle Level360 Sanding Disc - 100 Grit,FCISD100,https://www.tswfast.com/product/FCISD100?categoryCode=brand_FullCircle,https://s3-us-west-2.amazonaws.com/gtsinteriorsupplycomfiles/product/MD-FC360_disk_sanding.jpg,,,"{""PART"": ""FCISD100"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources Our aluminum oxide paper is clog resistant and self sharpening for longer life. Loop backed sandpaper firmly attaches to the foam disc, preventing debris from collecting behind the sandpaper, and eliminating a major cause of streaking. 5 pcs/ctn"", ""spec_source"": ""html""}"
Full Circle,Flex Edge 2.0,FCIFLEX20,https://www.tswfast.com/product/FCIFLEX20-flex-edge-2.0-sandingtool?categoryCode=brand_FullCircle,https://s3.amazonaws.com/tswfastcomfiles/product/FCIFLEX20_M.jpg,,,"{""PART"": ""FCIFLEX20"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources Flex Edge 2.0 designed to complement the Radius360. Easily handles a variety of sanding challenges with everything you need to take on the corners, tight angles, outlets, bumps, and more. The all-in-one foam/rubber replacement pad has added core pressure to eliminate and prevent binding and stuttering to ensure a faster, higher quality finish. • Non-Flip Design for a flawless finish • Abrasive clips for holding abrasive paper and sanding screens • Rubber protective bumper to protects adjacent walls • Acme thread on pole connector to use with any threaded poles"", ""spec_source"": ""html""}"
Full Circle,8 3/4 in Full Circle Level360 Sanding Disc - 80 Grit,FCISD80,https://www.tswfast.com/product/FCSD80?categoryCode=brand_FullCircle,https://s3-us-west-2.amazonaws.com/gtsinteriorsupplycomfiles/product/MD-FC100_D.jpg,,,"{""PART"": ""FCISD80"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources Our aluminum oxide paper is clog resistant and self sharpening for longer life. Loop backed sandpaper firmly attaches to the foam disc, preventing debris from collecting behind the sandpaper, and eliminating a major cause of streaking. 5 pcs/ctn"", ""spec_source"": ""html""}"
Full Circle,4 ft Full Circle FX4 Fixed Length Pole,FCIFX4,https://www.tswfast.com/product/FCIFX4?categoryCode=brand_FullCircle,https://s3.amazonaws.com/gmscom/master/media-common/product/FX_Pole_med.jpg,,,"{""PART"": ""FCIFX4"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources The FX4 Lightweight Pole weighs in at only 13 ounces. The ergonomic design creates less fatigue and stress on your hands. The FX4 has a larger 1-1/4” diameter and a rubber hand grip for comfort. The soft hand grip won’t damage opposite walls when sanding in close quarters. Standard threaded end."", ""spec_source"": ""html""}"
Full Circle,FLEX EDGE 2.0 SANDPAPER SHEETS 220G (10PK),FCIFLEX20220,https://www.tswfast.com/product/FCIFLEX20220-flex-edge-2.0-sandpapersheets-120g-10pk-?categoryCode=brand_FullCircle,https://s3.amazonaws.com/tswfastcomfiles/product/FCIFLEX20220_M.jpg,,,"{""PART"": ""FCIFLEX20220"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources 220 grit sanding paper"", ""spec_source"": ""html""}"
Full Circle,"Full Circle 8 3/4"" Sanding Discs 300 Grit (25/pack)",FCISD300,https://www.tswfast.com/product/Full-Circle-8-3-4-in-Sanding-Discs-300-Grit-25-per-pack?categoryCode=brand_FullCircle,https://s3.amazonaws.com/gmscom/master/media-common/product/FC_SP_med.jpg,,,"{""PART"": ""FCISD300"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources Full Circle aluminum oxide paper is clog resistant and self sharpening for longer life. Loop backed sandpaper firmly attaches to the foam disc, preventing debris from collecting behind the sandpaper, and eliminating a major cause of streaking 25 discs/pack"", ""spec_source"": ""html""}"
Full Circle,FLEX EDGE 2.0 SANDPAPER SHEETS 150G (10PK),FCIFLEX20150,https://www.tswfast.com/product/FCIFLEX20150-flex-edge-2.0-sandpapersheets-150g-10pk-?categoryCode=brand_FullCircle,https://s3.amazonaws.com/tswfastcomfiles/product/FCIFLEX20220_M.jpg,,,"{""PART"": ""FCIFLEX20150"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources 150 grit sanding paper"", ""spec_source"": ""html""}"
Full Circle,"Full Circle 8 3/4"" Sanding Discs 280 Grit (25/pack)",FCISD280,https://www.tswfast.com/product/Full-Circle-8-3-4-in-Sanding-Discs-280-Grit-25-per-pack?categoryCode=brand_FullCircle,https://s3.amazonaws.com/gmscom/master/media-common/product/FC_SP_med.jpg,,,"{""PART"": ""FCISD280"", ""MANUFACTURER"": ""Full Circle International"", ""full_description"": ""Product Details Resources Full Circle aluminum oxide paper is clog resistant and self sharpening for longer life. Loop backed sandpaper firmly attaches to the foam disc, preventing debris from collecting behind the sandpaper, and eliminating a major cause of streaking 25 discs/pack"", ""spec_source"": ""html""}"
