brand,name,sku,upc,price,price_numeric
Hyde Tools,5 in HYDE Tools Flexible Pro Stainless Joint Knife,HYD06778,,$14.40,14.4
Hyde Tools,4 in HYDE Tools Flexible Pro Stainless Joint Knife,HYD06578,,$13.20,13.2
Kraft,12 in Kraft Tools Heli-Arc EZ-Grip Stainless Steel Mud Pan,KRADW722,,$32.00,32
Kraft,14 1/4 in Kraft Tools Heli-Arc EZ-Grip Stainless Steel Mud Pan,KRADW724,,$40.00,40
Kraft,Kraft Tools Drywall Taper w/ Wood & Web Right Handle,KRADC401,,$185.00,185
Marshalltown Trowel,13 in x 13 in Marshalltown Aluminum Hawk w/ DuraSoft Handle,MAR15215,,$29.00,29
Marshalltown Trowel,"12"" Stainless Steel Taping Knife with DuraSoft Handle",MAR14325,,$21.00,21
Marshalltown Trowel,"14"" Stainless Steel Taping Knife with DuraSoft Handle",MAR14327,,$19.00,19
Marshalltown Trowel,"10"" Stainless Steel Taping Knife with DuraSoft Handle",MAR14323,,$20.00,20
Stanley,25 ft STANLEY FATMAX Tape Measure - Yellow/Black,STT33725,,$22.00,22
Stanley,25 ft STANLEY Tools PowerLock Tape Measure - Chrome,STT33425,,$20.00,20
Stanley,30 ft STANLEY FATMAX Tape Measure - Yellow/Black,STT33730,,$26.00,26
TapeTech,41 in - 63 in TapeTech XTender Finishing Box Handle,TTT88TTE,,$370.00,370
TapeTech,12 in TapeTech EasyClean Finishing Box,TTTEZ12TT,,$425.00,425
TapeTech,"10"" EasyClean Finishing Box",TTTEZ10TT,,$389.00,389
TapeTech,TapeTech EasyClean Loading Pump,TTT76TT,,$399.00,399
TapeTech,TapeTech Extension Handle,TTTXHTT,,$379.00,379
TapeTech,TapeTech Filler Adapter,TTT90TT,,$80.00,80
TapeTech,TapeTech EasyClean Automatic Taper,TTT07TT,,$1599.00,1599
TapeTech,TapeTech #2 Pump Repair Kit,TTT502H,,$37.00,37
TapeTech,12 in TapeTech Flat Box Repair Kit,TTT501C12,,$65.00,65
TapeTech,TapeTech Inside Corner Roller w/o Handle,TTT15TTEWOH,,$185.00,185
TapeTech,3 in TapeTech EasyRoll Adjustable Corner Finisher,TTT48TT,,$429.00,429
TapeTech,10 in TapeTech Flat Box Repair Kit,TTT501C10,,$60.00,60
TapeTech,"8"" Corner Applicator",TTTCA08TT,,$330.00,330
TapeTech,3 1/2 in TapeTech EasyRoll Adjustable Corner Finisher,TTT48XTT,,$445.00,445
TapeTech,TapeTech Gooseneck Adapter,TTT85TT,,$105.00,105
TapeTech,CARBON FIBER EasyClean Automatic Taper,TTT07TTC,,$2000.00,2000
USG Sheetrock Screws,"USG Sheetrock Tools #6 X 1-1/4""  Textured Head, Coarse Thread Drywall Screw w/ TENZ [5LB]",USG114CDWS5,,$25.00,25
USG Sheetrock Screws,"USG Sheetrock Tools 6 X 1-1/4"" Textured Head, Fine Thread Drywall Screw [5LB]",USG114FDWS5,,$25.00,25
USG Sheetrock Screws,"USG Sheetrock Tools #6 X 2"" Textured Head, Fine Thread Drywall Screw [5LB]",USG2FDWS5,,$28.00,28
USG Sheetrock Screws,"USG Sheetrock Tools #6 X 2"" Textured Head, Coarse Thread Drywall Screw w/ TENZ [5LB]",USG2CDWS5,,$28.00,28
USG Sheetrock Screws,"6 X 1-5/8"" Textured Head, Fine Thread Drywall Screw [5LB]",USG158FDWS5,,$27.00,27
USG Sheetrock Screws,"USG Sheetrock Tools #6 X 1-5/8"" Textured Head, Coarse Thread Drywall Screw w/ TENZ [5LB]",USG158CDWS5,,$27.00,27
Wal-Board,10 in Wal-Board Blue Steel TH Taping Knife,WAL21020,,$9.00,9
Wal-Board,12 in Wal-Board Blue Steel TH Taping Knife,WAL21022,,$10.00,10
Wal-Board,8 in Wal-Board Blue Steel TH Taping Knife,WAL21018,,$8.00,8
Warner,6 in Warner Mexican Heritage Flex Broad Knife w/ Hammer Cap,WAR10146,,$10.50,10.5
Warner,6 in Warner American Pride Flex Broad Knife w/ Hammer Cap,WAR40126,,$10.50,10.5
Warner,6 in Warner ProGrip Flex Broad Knife w/ Hammer Cap,WAR90126,,$10.50,10.5
Warner,5 in Warner Mexican Heritage Flex Broad Knife w/ Hammer Cap,WAR10145,,$10.00,10
Warner,5 in Warner American Pride Flex Broad Knife w/ Hammer Cap,WAR40125,,$10.00,10
Warner,5 in Warner ProGrip Flex Broad Knife w/ Hammer Cap,WAR90125,,$10.00,10
Warner,"Warner 10"" Progrip BS Mexican Heritage Taping Knife",WAR11542,,$10.50,10.5
