category_name,family_name,family_type,attribute_name,member_count,member_titles,member_urls,variant_count,variants_json
Handles,Twist Lock Handle,single-page,,1,Twist Lock Handle,https://www.columbiatools.com/columbia-tools/handles/twist-lock-handle/,1,"[{""label"": ""Twist Lock Handle"", ""sku"": ""TL3-8""}]"
Maintenance Kits,Anglehead Maintenance Kits,single-page,,1,Anglehead Maintenance Kits,https://www.columbiatools.com/columbia-tools/maintenance-kits/anglehead-maintenance-kits/,0,[]
Maintenance Kits,Automatic Taper Maintenance Kits,single-page,,1,Automatic Taper Maintenance Kits,https://www.columbiatools.com/columbia-tools/maintenance-kits/automatic-taper-maintenance-kits/,0,[]
Maintenance Kits,Corner Roller Maintenance Kits,single-page,,1,Corner Roller Maintenance Kits,https://www.columbiatools.com/columbia-tools/maintenance-kits/corner-roller-maintenance-kits/,0,[]
Maintenance Kits,Finishing Box Maintenance Kits,single-page,,1,Finishing Box Maintenance Kits,https://www.columbiatools.com/columbia-tools/maintenance-kits/finishing-box-maintenance-kits/,0,[]
Maintenance Kits,Handle Maintenance Kits,single-page,,1,Handle Maintenance Kits,https://www.columbiatools.com/columbia-tools/maintenance-kits/handle-maintenance-kits/,0,[]
Maintenance Kits,Mud Pump Maintenance Kit,single-page,,1,Mud Pump Maintenance Kit,https://www.columbiatools.com/columbia-tools/maintenance-kits/mud-pump-maintenance-kit/,0,[]
Maintenance Kits,Nailspotter Maintenance Kits,single-page,,1,Nailspotter Maintenance Kits,https://www.columbiatools.com/columbia-tools/maintenance-kits/nailspotter-maintenance-kits/,0,[]
Nailspotters,Nailspotters,grouped-pages,Size,2,2″ Nailspotter | 3″ Nailspotter,https://www.columbiatools.com/columbia-tools/nailspotters/2-nailspotter/ | https://www.columbiatools.com/columbia-tools/nailspotters/3-nailspotter/,2,"[{""label"": ""2\"""", ""sku"": ""2NS"", ""url"": ""https://www.columbiatools.com/columbia-tools/nailspotters/2-nailspotter/""}, {""label"": ""3\"""", ""sku"": ""3NS"", ""url"": ""https://www.columbiatools.com/columbia-tools/nailspotters/3-nailspotter/""}]"
New Releases,Bucket Scoops,single-page,Size,1,Bucket Scoops,https://www.columbiatools.com/columbia-tools/hand-tools/three-way-knives-copy/,3,"[{""label"": ""6” One Piece Bucket Scoop (stainless steel)"", ""sku"": ""OPBS""}, {""label"": ""6” Comfort Grip Bucket Scoop (stainless steel)"", ""sku"": ""CBS2K""}, {""label"": ""6″ Cork Handle Bucket Scoop (stainless steel)"", ""sku"": ""BCNC""}]"
New Releases,Columbia One Predator Taper,single-page,,1,Columbia One Predator Taper,https://www.columbiatools.com/columbia-tools/automatic-tapers/columbia-one-predator-taper/,1,"[{""label"": ""Columbia One Predator Taper"", ""sku"": ""PTAPER""}]"
