manufacturer,part_number,product_name,description_text,features,image_urls
TapeTech,EHC12W,"12"" MAXXBOX Extra High Capacity Finishing Box w/ EasyRoll Wheels","Introducing the first high capacity finishing boxes designed to hold the right amount of joint compound when you really need it on the first or second coat when you re filling the joint without the unnecessary weight when you don t need it on the finish coat. The NEW TapeTech MAXXBOX Finishing Boxes are designed with the optimum capacity to weight ratio. This means that you get more usable joint compound the amount that you can actually get out of the finishing box and onto the wall when you actually need it, like on the first coat. The TapeTech 7 MAXXBOX finishing box delivers 94% more usable joint compound than the standard EasyClean finishing box (model 20TTX) and up to 68% more usable capacity than competitive high capacity finishing boxes. Step up to the boxes designed to hold and deliver the right amount. Every time. Every box. MAXXBOX . Features: Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings Finishes butt joints and flat joints on walls and ceilings Feathers edges of butt joints and flat joint NOW with EasyRoll Wheels",Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings | Finishes butt joints and flat joints on walls and ceilings | Feathers edges of butt joints and flat joint | NOW with EasyRoll Wheels,https://s3.amazonaws.com/gmscom/master/media-common/product/TTTECH12_M.jpg
TapeTech,300040F,"12"" Tie Rod","12"" Tie Rod",,https://s3.amazonaws.com/tswfastcomfiles/product/TTT300040F_M.jpg
TapeTech,310024F,"12"" Viton Wiper","Replacement 12"" Viton Wiper for 32TT, 33TT, EZ12H, PA12H, & T30CF",,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT310024F_M.jpg
TapeTech,600005F,"2"" Nail Spotter Carbide Blade","2"" Nail Spotter Carbide Blade",,https://s3.amazonaws.com/tswfastcomfiles/product/TTT600005F_M.jpg
TapeTech,CF30TT,"3"" Corner Flusher - Semi-Automatic","TapeTech Corner Flushers make quick work of wiping or finishing inside corners. Direct flushers are used to apply joint compound to internal corners. Indirect flushers simply smooth compound that has been applied by another tool. TapeTech flushers work as both a direct and indirect flusher. That means you don’t have to decide which model to get, only which sizes fit your needs. The Corner Flushers fit all TapeTech corner tools (Compound Tubes, 88TTF and HF handles, 35TT and 50TT Corner Applicators and 14TT MudRunner®).",,https://s3.amazonaws.com/gmscom/master/media-common/product/TTTCF30TT_M.jpg
TapeTech,680030,"3"" Nail Spotter Insert","3"" Nail Spotter Insert",,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT680030_M.jpg
TapeTech,480209,"3-1/2"" Angle Head Carbide Blade","3 1/2"" ANGLE HEAD CARBIDE BLADE",,https://s3.amazonaws.com/gmscom/master/media-common/product/480209_med.jpg
TapeTech,CF35TT,"3.5"" Corner Flusher - Semi-Automatic","TapeTech Corner Flushers make quick work of wiping or finishing inside corners. Direct flushers are used to apply joint compound to internal corners. Indirect flushers simply smooth compound that has been applied by another tool. TapeTech flushers work as both a direct and indirect flusher. That means you don’t have to decide which model to get, only which sizes fit your needs. The Corner Flushers fit all TapeTech corner tools (Compound Tubes, 88TTF and HF handles, 35TT and 50TT Corner Applicators and 14TT MudRunner®).",,https://s3.amazonaws.com/gmscom/master/media-common/product/TTTCF35TT_M.jpg
TapeTech,CT42TT,"42"" Compound Tube - Semi-Automatic","TapeTech Compound Tubes supply joint compound to Corner Flushers for finishing inside corners. Also attaches to TapeTech Applicator Heads for applying corner bead to internal and external corners. Available in three sizes, the Compound Tubes disassemble for easy cleaning.",,https://s3.amazonaws.com/gmscom/master/media-common/product/TTTCT42TT_M.jpg
TapeTech,402002F,4800 Spring Retainer,"Replacement 4800 spring retainer for TapeTech 16TT, 16TT90, 40TT, 45T, 48TT, and 50TT Corner Finishers",,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT402002F_M.jpg
TapeTech,889035,6-32 x 1/4 Pan Head Screw,6-32 x 1/4 PAN HEAD SCREW,,https://s3.amazonaws.com/gmscom/master/media-common/product/889035_med.jpg
TapeTech,200026F,7 in TapeTech Flat Box Wiper,Replacement one piece wiper for the TapeTech 20TTX and CF07H flat boxes.,,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT200026F_M.jpg
TapeTech,502005F,"7"" Pivot Pressure Plate","7"" Pivot Pressure Plate",,https://s3.amazonaws.com/kodarisfiles2/images/product/product_image_blank_2.png
TapeTech,059074,8-32 Hex Elastic Stopnut,Replacement 8-32 Hex Elastic Stopnut for TapeTech 04TT & 05TT Automatic Tapers; 63TT Nail Spotter,,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT059074_M.jpg
TapeTech,502007,Bearing,Bearing,,https://s3.amazonaws.com/tswfastcomfiles/product/TTT502007_M.jpg
TapeTech,050154,Bearing Bracket,Bearing Bracket,,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT050154_M.jpg
TapeTech,209050,Box Screw 209050,Box Screw 209050,,https://s3.amazonaws.com/tswfastcomfiles/product/TTT209050_M.jpg
TapeTech,050123,CAM,CAM,,https://s3.amazonaws.com/tswfastcomfiles/product/TTT050123_M.jpg
