group_id,canonical_file,file_name,duplicate_type,file_size,width,height,rmse_to_canonical,p999_to_canonical,already_hardlinked
group-0059,tapetech-12-303010-01.webp,tapetech-12-303010-01.webp,canonical,4114,500,500,0.0,0,no
group-0059,tapetech-12-303010-01.webp,tapetech-12-303010-02.webp,duplicate,4116,500,500,0.527562,7,no
group-0060,tapetech-140003-01.webp,tapetech-140003-01.webp,canonical,16110,1200,1200,0.0,0,no
group-0060,tapetech-140003-01.webp,tapetech-140003-02.webp,duplicate,15812,1200,1200,0.377199,5,no
group-0061,tapetech-140006-01.webp,tapetech-140006-01.webp,canonical,19368,1200,1200,0.0,0,no
group-0061,tapetech-140006-01.webp,tapetech-140006-02.webp,duplicate,19468,1200,1200,0.528218,7,no
group-0062,tapetech-140007-01.webp,tapetech-140007-01.webp,canonical,20586,1200,1199,0.0,0,no
group-0062,tapetech-140007-01.webp,tapetech-140007-02.webp,duplicate,20878,1200,1199,0.503326,6,no
group-0063,tapetech-140008-01.webp,tapetech-140008-01.webp,canonical,12560,1200,1200,0.0,0,no
group-0063,tapetech-140008-01.webp,tapetech-140008-02.webp,duplicate,12688,1200,1200,0.374592,6,no
group-0064,tapetech-140012-01.webp,tapetech-140012-01.webp,canonical,13004,1200,1200,0.0,0,no
group-0064,tapetech-140012-01.webp,tapetech-140012-02.webp,duplicate,13072,1200,1200,0.34467,4,no
group-0065,tapetech-140013-01.webp,tapetech-140013-01.webp,canonical,6644,900,900,0.0,0,no
group-0065,tapetech-140013-01.webp,tapetech-140013-02.webp,duplicate,6702,900,900,0.360349,5,no
group-0066,tapetech-140015-01.webp,tapetech-140015-01.webp,canonical,22558,1200,1200,0.0,0,no
group-0066,tapetech-140015-01.webp,tapetech-140015-02.webp,duplicate,22760,1200,1200,0.527144,6,no
group-0067,tapetech-140017-01.webp,tapetech-140017-01.webp,canonical,31374,1200,1200,0.0,0,no
group-0067,tapetech-140017-01.webp,tapetech-140017-02.webp,duplicate,31306,1200,1200,0.56695,6,no
group-0068,tapetech-142001-01.webp,tapetech-142001-01.webp,canonical,14240,1200,1200,0.0,0,no
group-0068,tapetech-142001-01.webp,tapetech-142001-02.webp,duplicate,14376,1200,1200,0.390378,4,no
group-0069,tapetech-142016-01.webp,tapetech-142016-01.webp,canonical,9544,1200,1200,0.0,0,no
group-0069,tapetech-142016-01.webp,tapetech-142016-02.webp,duplicate,9550,1200,1200,0.254549,3,no
group-0070,tapetech-145011-01.webp,tapetech-145011-01.webp,canonical,25290,1200,1200,0.0,0,no
group-0070,tapetech-145011-01.webp,tapetech-145011-02.webp,duplicate,26020,1200,1200,0.570089,6,no
group-0071,tapetech-149021-01.webp,tapetech-149021-01.webp,canonical,31374,1200,1200,0.0,0,no
group-0071,tapetech-149021-01.webp,tapetech-149021-02.webp,duplicate,31670,1200,1200,0.645491,7,no
group-0072,tapetech-149024-01.webp,tapetech-149024-01.webp,canonical,4482,600,600,0.0,0,no
group-0072,tapetech-149024-01.webp,tapetech-149024-02.webp,duplicate,4484,600,600,0.378269,5,no
group-0073,tapetech-149025-01.webp,tapetech-149025-01.webp,canonical,9662,900,900,0.0,0,no
group-0073,tapetech-149025-01.webp,tapetech-149025-02.webp,duplicate,9668,900,900,0.446593,6,no
group-0074,tapetech-149028-01.webp,tapetech-149028-01.webp,canonical,2446,900,900,0.0,0,no
group-0074,tapetech-149028-01.webp,tapetech-149028-02.webp,duplicate,2468,900,900,0.135706,2,no
group-0075,tapetech-149029-01.webp,tapetech-149029-01.webp,canonical,5402,900,900,0.0,0,no
group-0075,tapetech-149029-01.webp,tapetech-149029-02.webp,duplicate,5480,900,900,0.313269,5,no
group-0076,tapetech-149034-01.webp,tapetech-149034-01.webp,canonical,5450,1200,1200,0.0,0,no
group-0076,tapetech-149034-01.webp,tapetech-149034-02.webp,duplicate,5506,1200,1200,0.212424,3,no
group-0077,tapetech-149035-01.webp,tapetech-149035-01.webp,canonical,12678,900,900,0.0,0,no
group-0077,tapetech-149035-01.webp,tapetech-149035-02.webp,duplicate,12846,900,900,0.532598,6,no
group-0078,tapetech-149037-01.webp,tapetech-149037-01.webp,canonical,4900,684,685,0.0,0,no
group-0078,tapetech-149037-01.webp,tapetech-149037-02.webp,duplicate,4868,684,685,0.379924,6,no
group-0079,tapetech-149120-01.webp,tapetech-149120-01.webp,canonical,17634,1200,1200,0.0,0,no
group-0079,tapetech-149120-01.webp,tapetech-149120-02.webp,duplicate,17514,1200,1200,0.514025,7,no
group-0080,tapetech-150003F-01.webp,tapetech-150003F-01.webp,canonical,12370,500,500,0.0,0,no
group-0080,tapetech-150003F-01.webp,tapetech-150003F-02.webp,duplicate,12454,500,500,0.950497,8,no
group-0081,tapetech-150004-01.webp,tapetech-150004-01.webp,canonical,7104,500,500,0.0,0,no
group-0081,tapetech-150004-01.webp,tapetech-150004-02.webp,duplicate,7146,500,500,0.748149,7,no
group-0082,tapetech-150008-01.webp,tapetech-150008-01.webp,canonical,9680,500,500,0.0,0,no
group-0082,tapetech-150008-01.webp,tapetech-150008-02.webp,duplicate,9690,500,500,0.868058,7,no
group-0083,tapetech-151011-01.webp,tapetech-151011-01.webp,canonical,10922,1200,1200,0.0,0,no
group-0083,tapetech-151011-01.webp,tapetech-151011-02.webp,duplicate,11096,1200,1200,0.346361,5,no
group-0084,tapetech-159010-01.webp,tapetech-159010-01.webp,canonical,7480,500,500,0.0,0,no
group-0084,tapetech-159010-01.webp,tapetech-159010-02.webp,duplicate,7480,500,500,0.705055,7,no
group-0085,tapetech-159014-01.webp,tapetech-159014-01.webp,canonical,6802,500,500,0.0,0,no
group-0085,tapetech-159014-01.webp,tapetech-159014-02.webp,duplicate,6796,500,500,0.687327,7,no
group-0086,tapetech-190002-01.webp,tapetech-190002-01.webp,canonical,41380,1200,1200,0.0,0,no
group-0086,tapetech-190002-01.webp,tapetech-190002-02.webp,duplicate,42002,1200,1200,0.729881,7,no
group-0087,tapetech-190033-01.webp,tapetech-190033-01.webp,canonical,10616,900,900,0.0,0,no
group-0087,tapetech-190033-01.webp,tapetech-190033-02.webp,duplicate,10674,900,900,0.487089,6,no
group-0088,tapetech-190034-01.webp,tapetech-190034-01.webp,canonical,23340,1000,1000,0.0,0,no
group-0088,tapetech-190034-01.webp,tapetech-190034-02.webp,duplicate,22818,1000,1000,0.693724,7,no
group-0089,tapetech-191001-01.webp,tapetech-191001-01.webp,canonical,39352,1200,1200,0.0,0,no
group-0089,tapetech-191001-01.webp,tapetech-191001-02.webp,duplicate,39764,1200,1200,0.689444,7,no
group-0090,tapetech-2-230-149032-01.webp,tapetech-2-230-149032-01.webp,canonical,27564,1200,1200,0.0,0,no
group-0090,tapetech-2-230-149032-01.webp,tapetech-2-230-149032-02.webp,duplicate,28006,1200,1200,0.624201,7,no
group-0091,tapetech-2-318-149031-01.webp,tapetech-2-318-149031-01.webp,canonical,23412,1200,1200,0.0,0,no
group-0091,tapetech-2-318-149031-01.webp,tapetech-2-318-149031-02.webp,duplicate,23224,1200,1200,0.521316,6,no
group-0092,tapetech-2-409021-01.webp,tapetech-2-409021-01.webp,canonical,10188,500,500,0.0,0,no
group-0092,tapetech-2-409021-01.webp,tapetech-2-409021-02.webp,duplicate,10226,500,500,0.897205,8,no
group-0093,tapetech-200001-01.webp,tapetech-200001-01.webp,canonical,2836,500,500,0.0,0,no
group-0093,tapetech-200001-01.webp,tapetech-200001-02.webp,duplicate,2836,500,500,0.451295,6,no
group-0094,tapetech-200026F-01.webp,tapetech-200026F-01.webp,canonical,12856,1200,1200,0.0,0,no
group-0094,tapetech-200026F-01.webp,tapetech-200026F-02.webp,duplicate,12836,1200,1200,0.390888,5,no
group-0095,tapetech-200052F-01.webp,tapetech-200052F-01.webp,canonical,9396,500,500,0.0,0,no
group-0095,tapetech-200052F-01.webp,tapetech-200052F-02.webp,duplicate,9432,500,500,0.908663,7,no
group-0096,tapetech-202022-01.webp,tapetech-202022-01.webp,canonical,5922,500,500,0.0,0,no
group-0096,tapetech-202022-01.webp,tapetech-202022-02.webp,duplicate,5938,500,500,0.595107,6,no
group-0097,tapetech-202028-01.webp,tapetech-202028-01.webp,canonical,10234,500,500,0.0,0,no
group-0097,tapetech-202028-01.webp,tapetech-202028-02.webp,duplicate,10302,500,500,0.879704,7,no
group-0098,tapetech-202044F-01.webp,tapetech-202044F-01.webp,canonical,10902,500,500,0.0,0,no
group-0098,tapetech-202044F-01.webp,tapetech-202044F-02.webp,duplicate,10850,500,500,0.875993,8,no
group-0099,tapetech-204002-01.webp,tapetech-204002-01.webp,canonical,35648,1200,1200,0.0,0,no
group-0099,tapetech-204002-01.webp,tapetech-204002-02.webp,duplicate,35876,1200,1200,0.740815,8,no
group-0100,tapetech-204005-01.webp,tapetech-204005-01.webp,canonical,4922,500,500,0.0,0,no
group-0100,tapetech-204005-01.webp,tapetech-204005-02.webp,duplicate,4912,500,500,0.614719,7,no
group-0101,tapetech-209006-01.webp,tapetech-209006-01.webp,canonical,8710,500,500,0.0,0,no
group-0101,tapetech-209006-01.webp,tapetech-209006-02.webp,duplicate,8754,500,500,0.837724,7,no
group-0102,tapetech-209012-01.webp,tapetech-209012-01.webp,canonical,4536,900,900,0.0,0,no
group-0102,tapetech-209012-01.webp,tapetech-209012-02.webp,duplicate,4580,900,900,0.272413,5,no
group-0103,tapetech-209016-01.webp,tapetech-209016-01.webp,canonical,7968,500,500,0.0,0,no
group-0103,tapetech-209016-01.webp,tapetech-209016-02.webp,duplicate,7958,500,500,0.839561,7,no
group-0104,tapetech-209030-01.webp,tapetech-209030-01.webp,canonical,9900,500,500,0.0,0,no
group-0104,tapetech-209030-01.webp,tapetech-209030-02.webp,duplicate,9922,500,500,0.913699,7,no
group-0105,tapetech-209038-01.webp,tapetech-209038-01.webp,canonical,6438,500,500,0.0,0,no
group-0105,tapetech-209038-01.webp,tapetech-209038-02.webp,duplicate,6424,500,500,0.686739,7,no
group-0106,tapetech-209042-01.webp,tapetech-209042-01.webp,canonical,8914,500,500,0.0,0,no
group-0106,tapetech-209042-01.webp,tapetech-209042-02.webp,duplicate,8958,500,500,0.925765,8,no
group-0107,tapetech-209046-01.webp,tapetech-209046-01.webp,canonical,10400,500,500,0.0,0,no
group-0107,tapetech-209046-01.webp,tapetech-209046-02.webp,duplicate,10536,500,500,0.886774,7,no
group-0108,tapetech-209048-01.webp,tapetech-209048-01.webp,canonical,5912,500,500,0.0,0,no
group-0108,tapetech-209048-01.webp,tapetech-209048-02.webp,duplicate,5936,500,500,0.707919,7,no
group-0109,tapetech-209049-01.webp,tapetech-209049-01.webp,canonical,7146,500,500,0.0,0,no
group-0109,tapetech-209049-01.webp,tapetech-209049-02.webp,duplicate,7158,500,500,0.77411,7,no
group-0110,tapetech-209058-01.webp,tapetech-209058-01.webp,canonical,11366,1200,1200,0.0,0,no
group-0110,tapetech-209058-01.webp,tapetech-209058-02.webp,duplicate,11292,1200,1200,0.432049,5,no
group-0111,tapetech-209755-01.webp,tapetech-209755-01.webp,canonical,22310,1200,1200,0.0,0,no
group-0111,tapetech-209755-01.webp,tapetech-209755-02.webp,duplicate,21874,1200,1200,0.723876,6,no
group-0112,tapetech-210024F-01.webp,tapetech-210024F-01.webp,canonical,19828,1200,1200,0.0,0,no
group-0112,tapetech-210024F-01.webp,tapetech-210024F-02.webp,duplicate,20002,1200,1200,0.565236,6,no
group-0113,tapetech-210060-01.webp,tapetech-210060-01.webp,canonical,10268,1200,1200,0.0,0,no
group-0113,tapetech-210060-01.webp,tapetech-210060-02.webp,duplicate,10324,1200,1200,0.324334,5,no
group-0114,tapetech-212082-01.webp,tapetech-212082-01.webp,canonical,5350,1050,1050,0.0,0,no
group-0114,tapetech-212082-01.webp,tapetech-212082-02.webp,duplicate,5362,1050,1050,0.246791,4,no
group-0115,tapetech-212084-01.webp,tapetech-212084-01.webp,canonical,37960,1200,1200,0.0,0,no
group-0115,tapetech-212084-01.webp,tapetech-212084-02.webp,duplicate,38390,1200,1200,0.688672,7,no
group-0116,tapetech-212085-01.webp,tapetech-212085-01.webp,canonical,34574,1200,1200,0.0,0,no
group-0116,tapetech-212085-01.webp,tapetech-212085-02.webp,duplicate,35046,1200,1200,0.665206,6,no
group-0117,tapetech-212089-01.webp,tapetech-212089-01.webp,canonical,4682,1154,1154,0.0,0,no
group-0117,tapetech-212089-01.webp,tapetech-212089-02.webp,duplicate,4720,1154,1154,0.18189,3,no
group-0118,tapetech-212090-01.webp,tapetech-212090-01.webp,canonical,13320,1200,1200,0.0,0,no
group-0118,tapetech-212090-01.webp,tapetech-212090-02.webp,duplicate,13394,1200,1200,0.383359,5,no
group-0119,tapetech-219064-01.webp,tapetech-219064-01.webp,canonical,6550,500,500,0.0,0,no
group-0119,tapetech-219064-01.webp,tapetech-219064-02.webp,duplicate,6570,500,500,0.694626,6,no
group-0120,tapetech-219080-01.webp,tapetech-219080-01.webp,canonical,9742,1200,1200,0.0,0,no
group-0120,tapetech-219080-01.webp,tapetech-219080-02.webp,duplicate,9646,1200,1200,0.310672,5,no
group-0121,tapetech-219081-01.webp,tapetech-219081-01.webp,canonical,6130,900,900,0.0,0,no
group-0121,tapetech-219081-01.webp,tapetech-219081-02.webp,duplicate,6170,900,900,0.325621,5,no
group-0122,tapetech-219091-01.webp,tapetech-219091-01.webp,canonical,11972,600,600,0.0,0,no
group-0122,tapetech-219091-01.webp,tapetech-219091-02.webp,duplicate,12014,600,600,0.799976,8,no
group-0123,tapetech-219092-01.webp,tapetech-219092-01.webp,canonical,9726,1200,1200,0.0,0,no
