brand,image_file,extension,image_body,normalized_key,sequence,assigned_product_count,assigned_skus,assigned_types,assignment_statuses,assignment_methods,coverage_status,suggested_product_count,suggested_skus,suggested_types,suggested_names,suggestion_scores
columbia,columbia-BK-2-5-01.webp,.webp,BK-2-5,bk-2-5,1,0,,,,,orphan,0,,,,
columbia,columbia-BK-3-01.webp,.webp,BK-3,bk-3,1,0,,,,,orphan,0,,,,
columbia,columbia-BK-3-5-01.webp,.webp,BK-3-5,bk-3-5,1,0,,,,,orphan,0,,,,
columbia,columbia-C-01.webp,.webp,C,c,1,0,,,,,orphan,0,,,,
columbia,columbia-C-02.webp,.webp,C,c,2,0,,,,,orphan,0,,,,
columbia,columbia-C-03.webp,.webp,C,c,3,0,,,,,orphan,0,,,,
columbia,columbia-C-04.webp,.webp,C,c,4,0,,,,,orphan,0,,,,
columbia,columbia-C-05.webp,.webp,C,c,5,0,,,,,orphan,0,,,,
columbia,columbia-C-06.webp,.webp,C,c,6,0,,,,,orphan,0,,,,
columbia,columbia-C-07.webp,.webp,C,c,7,0,,,,,orphan,0,,,,
columbia,columbia-C-08.webp,.webp,C,c,8,0,,,,,orphan,0,,,,
columbia,columbia-C-09.webp,.webp,C,c,9,0,,,,,orphan,0,,,,
columbia,columbia-C-10.webp,.webp,C,c,10,0,,,,,orphan,0,,,,
columbia,columbia-C14MP-6-01.webp,.webp,C14MP-6,c14mp-6,1,0,,,,,orphan,1,C14MP,variation,"Columbia Stainless Steel Mud Pan with Mud Grip -  14""",85
columbia,columbia-C16MP-6-01.webp,.webp,C16MP-6,c16mp-6,1,0,,,,,orphan,1,C16MP,variation,"Columbia Stainless Steel Mud Pan with Mud Grip -  16""",85
columbia,columbia-C1H-01.webp,.webp,C1H,c1h,1,2,COL-ONE-FIXED-HANDLE | C1H,variable | variation,mapped | mapped,child_union | direct_sku,mapped,0,,,,
columbia,columbia-C1H-02.webp,.webp,C1H,c1h,2,2,COL-ONE-FIXED-HANDLE | C1H,variable | variation,mapped | mapped,child_union | direct_sku,mapped,0,,,,
columbia,columbia-C1H-03.webp,.webp,C1H,c1h,3,2,COL-ONE-FIXED-HANDLE | C1H,variable | variation,mapped | mapped,child_union | direct_sku,mapped,0,,,,
columbia,columbia-C1H-04.webp,.webp,C1H,c1h,4,2,COL-ONE-FIXED-HANDLE | C1H,variable | variation,mapped | mapped,child_union | direct_sku,mapped,0,,,,
columbia,columbia-CBNCR-01.webp,.webp,CBNCR,cbncr,1,1,CBNCR,simple,mapped,direct_sku,mapped,1,CBNCR,simple,Columbia Outside Bead Bullnose Corner Roller -,100
columbia,columbia-CC-01.webp,.webp,CC,cc,1,1,CC,simple,mapped,direct_sku,mapped,0,,,,
columbia,columbia-CEXT90-01.webp,.webp,CEXT90,cext90,1,1,CEXT90,simple,mapped,direct_sku,mapped,1,CEXT90,simple,Columbia External 90° Applicator -,100
columbia,columbia-CEXT90-02.webp,.webp,CEXT90,cext90,2,1,CEXT90,simple,mapped,direct_sku,mapped,1,CEXT90,simple,Columbia External 90° Applicator -,100
columbia,columbia-CFB10-02.webp,.webp,CFB10,cfb10,2,1,CFB10,simple,mapped,direct_sku,mapped,1,CFB10,simple,"5/16 - 18 x 3/4"" Thumb Screw -",100
columbia,columbia-CFB11A-02.webp,.webp,CFB11A,cfb11a,2,1,CFB11A,simple,mapped,direct_sku,mapped,1,CFB11A,simple,Door Stop -,100
columbia,columbia-CFB15-02.webp,.webp,CFB15,cfb15,2,1,CFB15,simple,mapped,direct_sku,mapped,2,CFB15 | CFB15A,simple | simple,Door Hinge - | Hinge Bushing (Plastic Washer) -,100 | 85
columbia,columbia-CFB15A-02.webp,.webp,CFB15A,cfb15a,2,1,CFB15A,simple,mapped,direct_sku,mapped,2,CFB15A | CFB15,simple | simple,Hinge Bushing (Plastic Washer) - | Door Hinge -,100 | 85
columbia,columbia-CFB16-02.webp,.webp,CFB16,cfb16,2,1,CFB16,simple,mapped,direct_sku,mapped,1,CFB16,simple,Bearing Sleeve -,100
columbia,columbia-CFB3-7-02.webp,.webp,CFB3-7,cfb3-7,2,1,CFB3-7,simple,mapped,direct_sku,mapped,2,CFB3-7 | CFB3-8IN,simple | simple,"Side Plate 7"" - | CFB3 - 8 - Side Plate 8"" -",100 | 85
columbia,columbia-CFB3-8-02.webp,.webp,CFB3-8,cfb3-8,2,1,CFB3-8,simple,mapped,direct_sku,mapped,2,CFB3-8 | CFB3-8IN,simple | simple,"Side Plate 8"" - | CFB3 - 8 - Side Plate 8"" -",100 | 85
columbia,columbia-CFB4-7-02.webp,.webp,CFB4-7,cfb4-7,2,1,CFB4-7,simple,mapped,direct_sku,mapped,2,CFB4-7 | CFB4-8IN,simple | simple,"Door 7"" - | CFB4 - 8 - Door 8"" -",100 | 85
columbia,columbia-CFB4-8-02.webp,.webp,CFB4-8,cfb4-8,2,1,CFB4-8,simple,mapped,direct_sku,mapped,2,CFB4-8 | CFB4-8IN,simple | simple,"Door 8"" - | CFB4 - 8 - Door 8"" -",100 | 85
columbia,columbia-CFB5B-02.webp,.webp,CFB5B,cfb5b,2,1,CFB5B,simple,mapped,direct_sku,mapped,1,CFB5B,simple,Cone Ball -,100
columbia,columbia-CFB5B-03.webp,.webp,CFB5B,cfb5b,3,1,CFB5B,simple,mapped,direct_sku,mapped,1,CFB5B,simple,Cone Ball -,100
columbia,columbia-CFB6-02.webp,.webp,CFB6,cfb6,2,1,CFB6,simple,mapped,direct_sku,mapped,1,CFB6,simple,Mud Supply Valve Unit -,100
columbia,columbia-CFB7-7-02.webp,.webp,CFB7-7,cfb7-7,2,1,CFB7-7,simple,mapped,direct_sku,mapped,2,CFB7-7 | CFB7-8IN,simple | simple,"Door Gasket 7"" - | CFB7 - 8 - Door Gasket 8"" -",100 | 85
columbia,columbia-CFB7-8-02.webp,.webp,CFB7-8,cfb7-8,2,1,CFB7-8,simple,mapped,direct_sku,mapped,2,CFB7-8 | CFB7-8IN,simple | simple,"Door Gasket 8"" - | CFB7 - 8 - Door Gasket 8"" -",100 | 85
columbia,columbia-CFB8-02.webp,.webp,CFB8,cfb8,2,1,CFB8,simple,mapped,direct_sku,mapped,2,CFB8 | CFB8A,simple | simple,Box Mount - | ONE Angle Box Door Adaptor #14499 (CFB8A) -,100 | 85
columbia,columbia-CFLT-01.webp,.webp,CFLT,cflt,1,1,CFLT,simple,mapped,direct_sku,mapped,1,CFLT,simple,Columbia Flat Applicator -,100
columbia,columbia-CHXL-01.webp,.webp,CHXL,chxl,1,1,CHXL,simple,mapped,direct_sku,mapped,1,CHXL,simple,Columbia Long Extendable Handle - 4' - 8' -,100
columbia,columbia-CL-02.webp,.webp,CL,cl,2,0,,,,,orphan,0,,,,
columbia,columbia-closet-monster-flat-box-handle-01.webp,.webp,closet-monster-flat-box-handle,closet-monster-flat-box-handle,1,1,CMH,simple,mapped,manual_override,mapped,3,CMH | CMH-2 | CMH-8,simple | simple | simple,"Columbia Closet Monster Flat Box Handle - | Closet Monster 18"" Flat Box Handle (CMH) - | Closet Monster 18"" Flat Box Handle (CMH) -",100 | 71 | 71
columbia,columbia-CLT24-01.webp,.webp,CLT24,clt24,1,2,COL-CAM-LOCK-TUBE | CLT24,variable | variation,mapped | mapped,child_union | direct_sku,mapped,1,CLT24,variation,"Columbia Cam Lock Tube -  24""",100
columbia,columbia-CLT24-02.webp,.webp,CLT24,clt24,2,2,COL-CAM-LOCK-TUBE | CLT24,variable | variation,mapped | mapped,child_union | direct_sku,mapped,1,CLT24,variation,"Columbia Cam Lock Tube -  24""",100
columbia,columbia-CLTBF-01.webp,.webp,CLTBF,cltbf,1,0,,,,,orphan,0,,,,
