SKU,Parent SKU,Type,Name,Categories,Brand,Regular price
FA342,,simple,1/4 - 20 x 3/4 Hex Bolt (FA342),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA345,,simple,1/4 x 1/4 Roll Pin (FA345),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA346,,simple,1/4 Star Washer (FA346),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA350,,simple,5/16 - 18 x 7/8 Socket Head Screw (FA350),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA355,,simple,3/8 - 16 x 5/8 Flat Head Screw (FA355),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA358,,simple,3/8 - 16 Nyloc Nut (FA358),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA359,,simple,3/8 x 1/2 Roll Pin (FA359),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA360,,simple,3/8 Lock Washer (FA360),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA362,,simple,10 - 24 x 3/4 Flat Head Screw (FA362),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA364,,simple,8 - 32 x 5/8 Hex Bolt (FA364),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA366,,simple,8 - 32 x 3/8 Pan Head Screw (FA366),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA371,,simple,10 - 24 x 7/8 Hex Bolt (FA371),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA374,,simple,10 - 32 x 1/4 Flat Head Screw (FA374),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA375,,simple,10 - 32 x 3/8 Flat Head Screw (FA375),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA377,,simple,6 - 32 x 1/4 Flat Head Screw (FA377),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA390,,simple,6 - 32 x 7/8 Pan Head Screw (FA390),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA391,,simple,6 - 32 x 1 Pan Head Screw (FA391),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA392,,simple,6 - 32 x 1 - 1/4 Pan Head Screw (FA392),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA393,,simple,6 - 32 x 1 - 1/2 Pan Head Screw (FA393),Drywall Finishing Tools > Columbia > Parts,Columbia,
FA526,,simple,3/8 - 16 x 1 Hex Bolt (FA526),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAJ144,,simple,Predator Joint Fastener 14 - 4 (FAJ144),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAJ706,,simple,Predator Joint Fastener 70 - 6 (FAJ706),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAS46,,simple,Predator Taper 4 - 40 x 5/16 Set Screw (FAS46),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAZ07,,simple,Predator Taper 4 - 40 x 3/16 Binder Slot (FAZ07),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAZ0A,,simple,Predator Taper 4 - 40 Lock Washer (FAZ0A),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAZ10,,simple,Predator Taper 4 - 40 x 1/4 Fillister Slot (FAZ10),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAZ14,,simple,Predator Taper 4 - 40 x 3/8 Hex Bolt (FAZ14),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAZ1S,,simple,Predator Taper 4 - 40 x 1/8 Set Screw (FAZ1S),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAZ20,,simple,Predator Taper 6 - 32 x 3/4 Hex Bolt (FAZ20),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAZ21S,,simple,Predator Taper 6 - 32 x 1/8 Set Screw (FAZ21S),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAZ2R,,simple,Predator Taper 6 - 32 Nyloc Nut (FAZ2R),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAZ48,,simple,Predator Taper 5/16 - 18 x 3/4 Hex Bolt (FAZ48),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAZ54,,simple,Predator Taper 3/8 - 16 x 3/4 Socket Head (FAZ54),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAZ5S,,simple,Predator Taper 8 - 32 x 1/4 Set Screw (FAZ5S),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAZ6S,,simple,Predator Taper 8 - 32 x 3/16 Set Screw (FAZ6S),Drywall Finishing Tools > Columbia > Parts,Columbia,
FAZOR,,simple,Predator Taper 4 - 40 O - Ring (FAZOR),Drywall Finishing Tools > Columbia > Parts,Columbia,
FCMR1-5X18MM,,simple,Columbia Corner Mud Roller Replacement,Drywall Finishing Tools > Columbia > Parts,Columbia,23.0
FECCL33,,simple,"Columbia 33"" Mud Roller Case",Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,Columbia,86.0
FF8-12,,simple,"Adjuster Dial Assy (5.5,7,8,10)",Drywall Finishing Tools > Columbia > Parts,Columbia,
FF8-19,,simple,Brass Adjuster Pin (FFB19),Drywall Finishing Tools > Columbia > Parts,Columbia,
FF8-32,,simple,Thumb Release Clip (FFB32),Drywall Finishing Tools > Columbia > Parts,Columbia,
FF8-4C,,simple,Flat Box Corner Blade Assembly 4 in (FFB4C),Drywall Finishing Tools > Columbia > Parts,Columbia,
FF8A-10-10,,simple,Blade Bar Assembly 10 in (FFBA10 - 10),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB-16A,,simple,Flat Box Handle Bracket 16A (FFB 16A),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB-2S-10,,simple,Flat Box Side Plate 10 in Short (FFB 2S - 10),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB-SA,,simple,Flat Box Side Arm Assembly (FFB SA),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB10-10,,simple,Flat Box Side Cover 10 in (FFB10 - 10),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB11,,simple,"Adjuster Spring (7,8,10)",Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB12,,simple,Adjuster Dial Assembly 12 in (FFB12),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB18,,simple,"Rear Plate 8"" (FFB1 - 8)",Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB19,,simple,Brass Adjuster Pin (FFB19),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB1A,,simple,Nail Spotter Flat Plate 1A (FFB1A),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB1B,,simple,Flat Box Body 1B (FFB1B),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB2-10,,simple,"Roll Face 10"" (FFB2 - 10)",Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB24-10,,simple,Flat Box Wheel Axle 24 in 10 in (FFB24 - 10),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB2A,,simple,Bushing (FFB2A),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB35,,simple,Flat Box Spring Assembly (FFB35),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB40-10,,simple,Flat Box Door Gasket 10 in (FFB40 - 10),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB40-10IN,,simple,Flat Box Door Gasket 10 in (FFB40 - 10),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB41,,simple,Flat Box Axle Assembly (FFB41),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB42,,simple,Flat Box Door Pivot (FFB 42),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB43,,simple,Bead Wheel Bushing (FFB43),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB44,,simple,Flat Box Door Pivot Pin (FFB44),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB4C,,simple,Flat Box Corner Blade Assembly 4 in (FFB4C),Drywall Finishing Tools > Columbia > Parts,Columbia,
FFB9-5-5,,simple,"Blade 5.5""",Drywall Finishing Tools > Columbia > Parts,Columbia,4.0
FFH14,,simple,Handle Grip (FFH14),Drywall Finishing Tools > Columbia > Parts,Columbia,
FG-3A,,simple,Flat Box Angle Guide 3A (FG3A),Drywall Finishing Tools > Columbia > Parts,Columbia,
FG4-45,,simple,Flat Box 45 Degree Corner Guide 4 in (FG4 - 45),Drywall Finishing Tools > Columbia > Parts,Columbia,
FMRAF1-5,,simple,Columbia Corner Mud Roller with Acme Thread Roller Frame,Drywall Finishing Tools > Columbia > Corner Tools,Columbia,34.0
FR258,,simple,Predator Taper Frame Reinforcement (FR258),Drywall Finishing Tools > Columbia > Parts,Columbia,
FRZ13,,simple,Predator Taper Zinc Frame Rivet (FRZ13),Drywall Finishing Tools > Columbia > Parts,Columbia,
FSBC,,simple,Columbia Fat Boy Smoothing Blade Adapter Claw,Drywall Finishing Tools > Columbia > Handles & Extensions,Columbia,32.0
FSBSET,,simple,Columbia Fat Boy Smoothing Blade Set,Drywall Finishing Tools > Columbia > Knives & Blades,Columbia,472.0
FX242,,simple,Predator Taper Flex Connector (FX242),Drywall Finishing Tools > Columbia > Parts,Columbia,
H-1,,simple,Hot Mud Pump Cylinder (HP1),Drywall Finishing Tools > Columbia > Parts,Columbia,
HB48B,,simple,Hot Mud Pump Handle B (HB48B),Drywall Finishing Tools > Columbia > Parts,Columbia,
HFB-17,,simple,Heavy Flat Box Wheel Set (HFFB17),Drywall Finishing Tools > Columbia > Parts,Columbia,
HFBB14-10,,simple,Hinged Door Gasket 10 in Fat Boy (HFBB14 - 10),Drywall Finishing Tools > Columbia > Parts,Columbia,
HFFB-1A,,simple,Heavy Flat Box Body 1A (HFFB1A),Drywall Finishing Tools > Columbia > Parts,Columbia,
HFFB1-10,,simple,10 in Heavy Flat Box Body (HFFB1 - 10),Drywall Finishing Tools > Columbia > Parts,Columbia,
HFFB14-10IN,,simple,"HFFB14 - 10 - 10"" Flat Box Hinged Door Gasket",Drywall Finishing Tools > Columbia > Parts,Columbia,43.0
HFFB4-10,,simple,10 in Heavy Flat Box Door (HFFB4 - 10),Drywall Finishing Tools > Columbia > Parts,Columbia,
HH10-EXTLONG,,simple,Octogon Tube for Hydro Handle for COL88 (HH10),Drywall Finishing Tools > Columbia > Parts,Columbia,
HH21,,simple,Reservoir Piston Spring for COL88 (HH21),Drywall Finishing Tools > Columbia > Parts,Columbia,
HNS-3,,simple,Nail Spotter Front Plate (HNS3),Drywall Finishing Tools > Columbia > Parts,Columbia,
HNS14-PR,,simple,Nail Spotter 14 in Pad and Rod Assembly (HNS14PR),Drywall Finishing Tools > Columbia > Parts,Columbia,
HNS14A,,simple,Handle Link New Style (HNS14A),Drywall Finishing Tools > Columbia > Parts,Columbia,
HNS19-3,,simple,Triangle Shoe 3 in (HNS19 - 3”),Drywall Finishing Tools > Columbia > Parts,Columbia,
HNS2-3,,simple,Nail Spotter Front Plate (HNS3),Drywall Finishing Tools > Columbia > Parts,Columbia,
HNS2A,,simple,Rollface Post (HNS2A),Drywall Finishing Tools > Columbia > Parts,Columbia,
HNS9-3,,simple,Face Plate 3 in (HNS9 - 3”),Drywall Finishing Tools > Columbia > Parts,Columbia,
HP4,,simple,Hot Mud Pump Piston Assembly (HP4),Drywall Finishing Tools > Columbia > Parts,Columbia,
HP48,,simple,Handle Pin (HP48),Drywall Finishing Tools > Columbia > Parts,Columbia,
HP48A,,simple,Hot Mud Pump HP48 Body A (HP48A),Drywall Finishing Tools > Columbia > Parts,Columbia,
HP48B,,simple,Hot Mud Pump HP48 Body B (HP48B),Drywall Finishing Tools > Columbia > Parts,Columbia,
HP48L,,simple,Hot Mud Pump HP48 Long Body (HP48L),Drywall Finishing Tools > Columbia > Parts,Columbia,
HPA-48,,simple,HPA48 - Handle Pin Assembly,Drywall Finishing Tools > Columbia > Parts,Columbia,5.0
HTBDL1,,simple,Columbia Stainless Steel Hand Tool Finishing Set,Drywall Finishing Tools > Columbia > Tool Sets & Kits,Columbia,90.0
HTBDL10,,simple,Columbia Silver 0.4 Curved Blade Stainless Steel Finishing Trowel & Hawk Set,Drywall Finishing Tools > Columbia > Tool Sets & Kits,Columbia,164.0
HTBDL11,,simple,Columbia Pro Flex 0.7 Flat Blade Stainless Steel Finishing Trowel & Hawk Set,Drywall Finishing Tools > Columbia > Tool Sets & Kits,Columbia,171.0
HTBDL12,,simple,Columbia Super Flex 0.3 Flat Blade Stainless Steel Finishing Trowel & Hawk Set,Drywall Finishing Tools > Columbia > Tool Sets & Kits,Columbia,174.0
HTBDL13,,simple,Columbia One Piece Stainless Steel Putty Knife Set,Drywall Finishing Tools > Columbia > Knives & Blades,Columbia,52.0
HTBDL14,,simple,Columbia Basic One Piece Stainless Steel Hand Tool Set,Drywall Finishing Tools > Columbia > Tool Sets & Kits,Columbia,94.0
HTBDL15,,simple,Columbia Mud Roller and Putty Knife Set,Drywall Finishing Tools > Columbia > Tool Sets & Kits,Columbia,212.0
HTBDL2,,simple,Columbia 3Way Stainless Steel Putty Knife Set with Nylon Handle,Drywall Finishing Tools > Columbia > Knives & Blades,Columbia,44.0
HTBDL3,,simple,Columbia Stainless Steel Taping Knife Set,Drywall Finishing Tools > Columbia > Knives & Blades,Columbia,53.0
HTBDL4,,simple,Columbia Stainless Steel Knife and Mud Pan Set with Bucket,Drywall Finishing Tools > Columbia > Tool Sets & Kits,Columbia,110.0
HTBDL5,,simple,Columbia Basic Stainless Steel Knife and Mud Pan Set with Bucket,Drywall Finishing Tools > Columbia > Tool Sets & Kits,Columbia,70.0
HTBDL6,,simple,Columbia Basic Mud Roller and Sabre Smoothing Blade Set with Case,Drywall Finishing Tools > Columbia > Tool Sets & Kits,Columbia,247.0
HTBDL7,,simple,Columbia Essentials Stainless Steel Putty Knife Set with Bucket,Drywall Finishing Tools > Columbia > Tool Sets & Kits,Columbia,51.0
HTBDL8,,simple,Columbia Complete Stainless Steel Putty Knife Set with Bucket,Drywall Finishing Tools > Columbia > Tool Sets & Kits,Columbia,157.0
HTBDL9,,simple,Columbia Pro Flex 0.7 Curved Blade Stainless Steel Finishing Trowel & Hawk Set,Drywall Finishing Tools > Columbia > Tool Sets & Kits,Columbia,171.0
ICA-1,,simple,Inside Corner Applicator Body (ICA1),Drywall Finishing Tools > Columbia > Parts,Columbia,
ICA-2,,simple,Inside Corner Applicator Axle (ICA2),Drywall Finishing Tools > Columbia > Parts,Columbia,
ICA-3,,simple,Inside Corner Applicator Wheel (ICA3),Drywall Finishing Tools > Columbia > Parts,Columbia,
ICA-4L,,simple,Inside Corner Applicator Left Frame Sub - Assembly (ICA4L),Drywall Finishing Tools > Columbia > Parts,Columbia,
ICA-4R,,simple,Inside Corner Applicator Right Frame Sub - Assembly (ICA4R),Drywall Finishing Tools > Columbia > Parts,Columbia,
ICA2-1,,simple,Columbia 2 Wheeled Internal 90° Applicator,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,Columbia,49.0
ICATW-1,,simple,Inside 90 Applicator with Wheels (ICATW),Drywall Finishing Tools > Columbia > Parts,Columbia,
ICATW-2,,simple,Inside 90 Applicator with Wheels (ICATW),Drywall Finishing Tools > Columbia > Parts,Columbia,
JKBP,,simple,Columbia 3 Piece Stainless Steel Comfort Grip Joint Knife Set,Drywall Finishing Tools > Columbia > Knives & Blades,Columbia,43.0
LT06,,simple,Predator Taper Lightweight Frame Bracket (LT06),Drywall Finishing Tools > Columbia > Parts,Columbia,
LT54,,simple,Predator Taper Titanium Pull Rod 54 (LT54),Drywall Finishing Tools > Columbia > Parts,Columbia,
MH-14,,simple,Matrix Extendable Flat Box Handle (MH),Drywall Finishing Tools > Columbia > Parts,Columbia,
MH-9,,simple,CTTMH9 (MH9),Drywall Finishing Tools > Columbia > Parts,Columbia,
MP-27,,simple,Mud Pump O - Ring Retainer (MP27),Drywall Finishing Tools > Columbia > Parts,Columbia,
MP-27B,,simple,Mud Pump O - Ring Retainer B (MP27B),Drywall Finishing Tools > Columbia > Parts,Columbia,
MP-27C,,simple,Mud Pump O Ring Retainer - MP27C (MP - 27C),Drywall Finishing Tools > Columbia > Parts,Columbia,
MP-34,,simple,Adaptor (MP34),Drywall Finishing Tools > Columbia > Parts,Columbia,
MP-9,,simple,Standard Fitting (MP9),Drywall Finishing Tools > Columbia > Parts,Columbia,
MP-9A,,simple,Connecting Chain (MP9A),Drywall Finishing Tools > Columbia > Parts,Columbia,
MP33A,,simple,Mud Pump Spring Assembly (MP33A),Drywall Finishing Tools > Columbia > Parts,Columbia,
MP7A,,simple,Mud Pump Foot Valve A (MP7A),Drywall Finishing Tools > Columbia > Parts,Columbia,
MP7B,,simple,Mud Pump O - Ring Retainer B (MP7B),Drywall Finishing Tools > Columbia > Parts,Columbia,
MP7C,,simple,Mud Pump O - Ring Retainer C (replaces MP7D),Drywall Finishing Tools > Columbia > Parts,Columbia,
MP7D,,simple,Special Nut for Pump Handle (MP7D),Drywall Finishing Tools > Columbia > Parts,Columbia,
MP7E,,simple,Mud Pump Foot Valve E (MP7E),Drywall Finishing Tools > Columbia > Parts,Columbia,
MP8A,,simple,Mud Pump Valve Spring A (MP8A),Drywall Finishing Tools > Columbia > Parts,Columbia,
MP8B,,simple,Mud Pump Valve Spring B (MP8B),Drywall Finishing Tools > Columbia > Parts,Columbia,
MRR12,,simple,Columbia 2K Drywall Mud Roller Replacement,Drywall Finishing Tools > Columbia > Parts,Columbia,23.0
MRW,,simple,Columbia Mud Roller Washer,Drywall Finishing Tools > Columbia > Parts,Columbia,24.0
NOLI,,simple,NOLI,Drywall Finishing Tools > Columbia > Parts,Columbia,
OCR-1,,simple,Corner Roller Head Casting CR1 (CR1),Drywall Finishing Tools > Columbia > Parts,Columbia,
OCR-2A,,simple,Roller Wheel CR2 (CR2),Drywall Finishing Tools > Columbia > Parts,Columbia,
OCR-2B,,simple,Roller Wheel CR2 (CR2),Drywall Finishing Tools > Columbia > Parts,Columbia,
OCR-2C,,simple,Roller Wheel CR2 (CR2),Drywall Finishing Tools > Columbia > Parts,Columbia,
OCR-2D,,simple,Roller Wheel CR2 (CR2),Drywall Finishing Tools > Columbia > Parts,Columbia,
OCR-3,,simple,Corner Roller Bearing Sleeve CR3 (CR3),Drywall Finishing Tools > Columbia > Parts,Columbia,
OCR-3A,,simple,Corner Roller Bearing Sleeve CR3 (CR3),Drywall Finishing Tools > Columbia > Parts,Columbia,
OCR-5,,simple,Corner Roller Wheel CR5 (CR5),Drywall Finishing Tools > Columbia > Parts,Columbia,
OCR-6,,simple,Corner Roller Handle Mounting Swivel CR6 (CR6),Drywall Finishing Tools > Columbia > Parts,Columbia,
OPPK10-1,,simple,Columbia One Piece Stainless Steel 10 - in - 1 Multi Tool,Drywall Finishing Tools > Columbia > Knives & Blades,Columbia,18.0
PA214,,simple,Predator Taper Head Assembly 14 in (PA214),Drywall Finishing Tools > Columbia > Parts,Columbia,
PA266,,simple,Predator Taper Head Sub Assembly (PA266),Drywall Finishing Tools > Columbia > Parts,Columbia,
PA277,,simple,Predator Taper Creaser Arm Assembly (PA277),Drywall Finishing Tools > Columbia > Parts,Columbia,
PA2LS,,simple,Predator Taper Left Side Assembly (PA2LS),Drywall Finishing Tools > Columbia > Parts,Columbia,
PA2S4,,simple,Predator Taper Side Plate Assembly (PA2S4),Drywall Finishing Tools > Columbia > Parts,Columbia,
PACTS,,simple,Predator Taper Cam Track Spring (PACTS),Drywall Finishing Tools > Columbia > Parts,Columbia,
PAS07,,simple,Predator Taper Pivot Assembly Small (PAS07),Drywall Finishing Tools > Columbia > Parts,Columbia,
PAS80,,simple,Predator Taper Pull Rod Assembly (PAS80),Drywall Finishing Tools > Columbia > Parts,Columbia,
PASS9,,simple,Predator Taper Spring Set (PASS9),Drywall Finishing Tools > Columbia > Parts,Columbia,
PAZ20,,simple,Predator Taper Zinc Cam Roller (PAZ20),Drywall Finishing Tools > Columbia > Parts,Columbia,
PAZ49,,simple,Predator Taper Zinc Pivot Pin (PAZ49),Drywall Finishing Tools > Columbia > Parts,Columbia,
PC1H,,simple,Columbia Predator One Fixed Handle,Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,62.0
PC1HEXT,,simple,Columbia Predator One Extendable Handle - 3' - 5',Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,138.0
PCHXL,,simple,Columbia Predator Long Extendable Handle - 4' - 8',Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,168.0
PCLT42,,simple,Columbia Predator Cam Lock Tube,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,Columbia,290.0
PCMT42,,simple,Columbia Predator Compound Tube,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,Columbia,217.0
PHMP,,simple,Columbia Predator Quick - Clean Mud Pump (Box Filler Not Included),Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,376.0
PTS,,simple,Columbia Predator Tactical Set,Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,5861.0
RC,,simple,Columbia Road Case,Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,992.0
S1,,simple,Sander Head Main Body (S1),Drywall Finishing Tools > Columbia > Parts,Columbia,
S2,,simple,Sander Head Pivot Pin (S2),Drywall Finishing Tools > Columbia > Parts,Columbia,
S3,,simple,Sander Head Return Spring (S3),Drywall Finishing Tools > Columbia > Parts,Columbia,
S4,,simple,Sander Head Pivot Washer (S4),Drywall Finishing Tools > Columbia > Parts,Columbia,
S5,,simple,Sander Head Retainer Clip (S5),Drywall Finishing Tools > Columbia > Parts,Columbia,
S6,,simple,Sander Head Swivel Bearing (S6),Drywall Finishing Tools > Columbia > Parts,Columbia,
SABDL1,,simple,Columbia Semi - Automatic Taping Tool Set with Bonus Hand Tool Set,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,Columbia,903.0
SABDL2,,simple,Columbia Predator Semi - Automatic Taping Tool Set with Bonus Hand Tool Set,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,Columbia,962.0
SABDL3,,simple,Columbia Full Semi - Automatic Taping Tool and Sanding Set with Bonus Hand Tool Set,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,Columbia,1347.0
SABDL4,,simple,Columbia Predator Full Semi - Automatic Taping Tool and Sanding Set with Bonus Hand Tool Set,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,Columbia,1389.0
SABDL5,,simple,Columbia Basic Semi - Automatic Taping Tool Set with Express Case,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,Columbia,688.0
SABDL6,,simple,Columbia Starter Semi - Automatic Taping Tool Set with Compact Case,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,Columbia,594.0
SABDL7,,simple,Columbia Predator Tomahawk Smoothing Blade Set with Hard Case,Drywall Finishing Tools > Columbia > Knives & Blades,Columbia,634.0
SACS,,simple,Columbia Commando Set,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,Columbia,919.0
SAT1,,simple,Semi Auto Taper Drywall Taping Tool (SAT1),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT10,,simple,Semi Auto Taper Drywall Taping Tool (SAT10),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT11,,simple,Semi Auto Taper Drywall Taping Tool (SAT11),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT12,,simple,Semi Auto Taper Drywall Taping Tool (SAT12),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT13,,simple,Semi Auto Taper Drywall Taping Tool (SAT13),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT15,,simple,Semi Auto Taper Drywall Taping Tool (SAT15),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT16,,simple,Semi Auto Taper Drywall Taping Tool (SAT16),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT17,,simple,Semi Auto Taper Drywall Taping Tool (SAT17),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT18,,simple,Semi Auto Taper Drywall Taping Tool (SAT18),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT19,,simple,Semi Auto Taper Drywall Taping Tool (SAT19),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT2,,simple,Semi Auto Taper Drywall Taping Tool (SAT2),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT20,,simple,Semi Auto Taper Drywall Taping Tool (SAT20),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT21,,simple,Semi Auto Taper Drywall Taping Tool (SAT21),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT22,,simple,Semi Auto Taper Drywall Taping Tool (SAT22),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT3,,simple,Semi Auto Taper Drywall Taping Tool (SAT3),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT4,,simple,Semi Auto Taper Drywall Taping Tool (SAT4),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT5,,simple,Semi Auto Taper Drywall Taping Tool (SAT5),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT6,,simple,Semi Auto Taper Drywall Taping Tool (SAT6),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT7,,simple,Semi Auto Taper Drywall Taping Tool (SAT7),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT8,,simple,Semi Auto Taper Drywall Taping Tool (SAT8),Drywall Finishing Tools > Columbia > Parts,Columbia,
SAT9,,simple,Semi Auto Taper Drywall Taping Tool (SAT9),Drywall Finishing Tools > Columbia > Parts,Columbia,
SB1-12IN,,simple,Tomahawk 12 in Smoothing Blade (SB1 - 12),Drywall Finishing Tools > Columbia > Parts,Columbia,
SB2-12IN,,simple,"Replacement 12"" Blade for Tomahawk SB2 - 12 (SB2 - 12)",Drywall Finishing Tools > Columbia > Parts,Columbia,
SB3-LEFT,,simple,Tomahawk Left Arm Assembly (SB3 - LEFT),Drywall Finishing Tools > Columbia > Parts,Columbia,
SB4-RIGHT,,simple,Tomahawk Right Arm Assembly (SB4 - RIGHT),Drywall Finishing Tools > Columbia > Parts,Columbia,
SB5-SB6,,simple,Tomahawk Blade Holder Spring (SB5),Drywall Finishing Tools > Columbia > Parts,Columbia,
SB7,,simple,Tomahawk Handle Fitting (SB7),Drywall Finishing Tools > Columbia > Parts,Columbia,
SBC,,simple,Columbia Sabre Smoothing Blade Claw,Drywall Finishing Tools > Columbia > Handles & Extensions,Columbia,24.0
SBCASEM,,simple,Columbia Sabre Blade Case (Medium),Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,Columbia,91.0
SBP,,simple,Columbia Sabre Smoothing Blade Extension Pole,Drywall Finishing Tools > Columbia > Handles & Extensions,Columbia,66.0
SBSET,,simple,Columbia Sabre Smoothing Blade Set,Drywall Finishing Tools > Columbia > Knives & Blades,Columbia,413.0
SEE-EXTENSION-HOUSING-DETAIL,,simple,SEE EXTENSION HOUSING DETAIL,Drywall Finishing Tools > Columbia > Parts,Columbia,
SEE-HEAD-DETAIL,,simple,SEE HEAD DETAIL,Drywall Finishing Tools > Columbia > Parts,Columbia,
SEE-LEVER-DETAIL,,simple,SEE LEVER DETAIL,Drywall Finishing Tools > Columbia > Parts,Columbia,
SEE-PINCHBOX-DETAIL,,simple,SEE PINCHBOX DETAIL,Drywall Finishing Tools > Columbia > Parts,Columbia,
SF5,,simple,Columbia Shrink Fit Comfort Grips for Welded Stainless Steel Joint Knives,Drywall Finishing Tools > Columbia > Parts,Columbia,8.0
SPECIALOPS,,simple,Columbia Special Ops Set with Bonus Hand Tool Set,Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,2940.0
SPTAPER,,simple,"Columbia Sawed Off Predator Automatic Taper 39""",Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,1896.0
TBBF,,simple,Columbia Tall Boy Box Filler,Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,52.0
