"old_parent_sku","old_variation_sku","old_variation_name","new_simple_parent_sku","new_simple_sku","new_simple_name","available"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT119","CT119 - Spool Retaining Spring","COL-CT119-SPOOL-RETAINING-SPRING","CT119","CT119 - Spool Retaining Spring","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT120","CT120 - Tape Spool","COL-CT120-TAPE-SPOOL","CT120","CT120 - Tape Spool","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT121A","CT121A - O-Ring","COL-CT121A-O-RING","CT121A","CT121A - O-Ring","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT124","CT124 - Hand Grip Guard Ring","COL-CT124-HAND-GRIP-GUARD-RING","CT124","CT124 - Hand Grip Guard Ring","false"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT125","CT125 - Rollers","COL-CT125-ROLLERS","CT125","CT125 - Rollers","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT125A","CT125A - Bearing","COL-CT125A-BEARING","CT125A","CT125A - Bearing","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT126","CT126 - Hand Grip Body","COL-CT126-HAND-GRIP-BODY","CT126","CT126 - Hand Grip Body","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT127","CT127 - Extension Shaft Bracket","COL-CT127-EXTENSION-SHAFT-BRACKET","CT127","CT127 - Extension Shaft Bracket","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT130","CT130 - Extension Shaft","COL-CT130-EXTENSION-SHAFT","CT130","CT130 - Extension Shaft","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","CT132","CT132 - Connecting Link","COL-CT132-CONNECTING-LINK","CT132","CT132 - Connecting Link","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA207__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA207 - 4-40 Nyloc Nut","COL-FA207-4-40-NYLOC-NUT","FA207__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA207 - 4-40 Nyloc Nut","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA208__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA208 - 4-40 x 1/8"" Binder Slot","COL-FA208-4-40-X-1-8-BINDER-SLOT","FA208__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA208 - 4-40 x 1/8"" Binder Slot","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA219__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA219 - 4-40 x 1/2"" Fillister Slot","COL-FA219-4-40-X-1-2-FILLISTER-SLOT","FA219__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA219 - 4-40 x 1/2"" Fillister Slot","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA220__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA220 - 4-40 x 3/4"" Hex Bolt","COL-FA220-4-40-X-3-4-HEX-BOLT","FA220__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA220 - 4-40 x 3/4"" Hex Bolt","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA225","FA225 - 1/8"" x 3/8"" Rivet Shoulder Washer","COL-FA225-1-8-X-3-8-RIVET-SHOULDER-WASHER","FA225","FA225 - 1/8"" x 3/8"" Rivet Shoulder Washer","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA239__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA239 - 6-32 x 1/4"" Binder Slot","COL-FA239-6-32-X-1-4-BINDER-SLOT","FA239__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA239 - 6-32 x 1/4"" Binder Slot","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA249__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA249 - 8-32 x 3/16"" Set Screw","COL-FA249-8-32-X-3-16-SET-SCREW","FA249__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA249 - 8-32 x 3/16"" Set Screw","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA291","FA291 - 1/4-20 Hex Nut","COL-FA291-1-4-20-HEX-NUT","FA291","FA291 - 1/4-20 Hex Nut","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA292__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA292 - 1/4-20 Nyloc Jam Nut","COL-FA292-1-4-20-NYLOC-JAM-NUT","FA292__COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA292 - 1/4-20 Nyloc Jam Nut","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA295","FA295 - 1/4 x 1/2"" Flathead Socket","COL-FA295-1-4-X-1-2-FLATHEAD-SOCKET","FA295","FA295 - 1/4 x 1/2"" Flathead Socket","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-BODY-REPAIR-PARTS","FA298","FA298 - 1/4-20 x 7/8"" Flat Socket","COL-FA298-1-4-20-X-7-8-FLAT-SOCKET","FA298","FA298 - 1/4-20 x 7/8"" Flat Socket","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT2","CT2 - Insert Bushing for CT#7A","COL-CT2-INSERT-BUSHING-FOR-CT-7A","CT2","CT2 - Insert Bushing for CT#7A","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT3","CT3 - Right Insert Bushing (includes CT4)","COL-CT3-RIGHT-INSERT-BUSHING-INCLUDES-CT4","CT3","CT3 - Right Insert Bushing (includes CT4)","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT3A","CT3A - Left Insert Bushing","COL-CT3A-LEFT-INSERT-BUSHING","CT3A","CT3A - Left Insert Bushing","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT4","CT4 - Left Wafer Bushing","COL-CT4-LEFT-WAFER-BUSHING","CT4","CT4 - Left Wafer Bushing","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT5","CT5 - Right Wafer Bushing","COL-CT5-RIGHT-WAFER-BUSHING","CT5","CT5 - Right Wafer Bushing","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT6A","CT6A - Stainless Steel Side Plate - Left","COL-CT6A-STAINLESS-STEEL-SIDE-PLATE-LEFT","CT6A","CT6A - Stainless Steel Side Plate - Left","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT7A","CT7A - Side Plate Hub","COL-CT7A-SIDE-PLATE-HUB","CT7A","CT7A - Side Plate Hub","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT10A","CT10A - Crimping Arm Shaft Bushing - L","COL-CT10A-CRIMPING-ARM-SHAFT-BUSHING-L","CT10A","CT10A - Crimping Arm Shaft Bushing - L","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT13","CT13 - Dog Base Bracket","COL-CT13-DOG-BASE-BRACKET","CT13","CT13 - Dog Base Bracket","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT14A","CT14A - Taper Adjustable Brake","COL-CT14A-TAPER-ADJUSTABLE-BRAKE","CT14A","CT14A - Taper Adjustable Brake","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT15","CT15 - Ratchet Rod for Adjustable Brake","COL-CT15-RATCHET-ROD-FOR-ADJUSTABLE-BRAKE","CT15","CT15 - Ratchet Rod for Adjustable Brake","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT16","CT16 - Brake Dog","COL-CT16-BRAKE-DOG","CT16","CT16 - Brake Dog","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT19","CT19 - Paper Feed Guide","COL-CT19-PAPER-FEED-GUIDE","CT19","CT19 - Paper Feed Guide","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT20","CT20 - Hinge Block","COL-CT20-HINGE-BLOCK","CT20","CT20 - Hinge Block","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT25","CT25 - Knife Guide Square Tube","COL-CT25-KNIFE-GUIDE-SQUARE-TUBE","CT25","CT25 - Knife Guide Square Tube","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT27","CT27 - Knife Guide Bracket - Left","COL-CT27-KNIFE-GUIDE-BRACKET-LEFT","CT27","CT27 - Knife Guide Bracket - Left","true"
"COL-COLUMBIA-AUTOMATIC-TAPER-HEAD-REPAIR-PARTS","CT28","CT28 - Roller Bushing","COL-CT28-ROLLER-BUSHING","CT28","CT28 - Roller Bushing","true"
