Brands,Type,SKU,MPN,Name,Short description,Description
TapeTech,simple,PAHC12,PAHC12,"12"" Power Assist MaxxBox","12"" Power Assist MaxxBox","12"" Power Assist MaxxBox"
TapeTech,simple,QB06-QSX,QB06-QSX,"6 ½"" QuickBox Finishing Box","6 ½"" QuickBox Finishing Box","6 ½"" QuickBox Finishing Box"
TapeTech,simple,QB08-QSX,QB08-QSX,"8 ½"" QuickBox Finishing Box","8 ½"" QuickBox Finishing Box","8 ½"" QuickBox Finishing Box"
TapeTech,simple,FBH2642TT-CF,FBH2642TT-CF,"Carbon Fiber Box Handle (extends 26""-42"")","Carbon Fiber Box Handle (extends 26""-42"")","Carbon Fiber Box Handle (extends 26""-42"")"
TapeTech,simple,FBH4272TT-CF,FBH4272TT-CF,"Carbon Fiber Box Handle (extends 42""-72"")","Carbon Fiber Box Handle (extends 42""-72"")","Carbon Fiber Box Handle (extends 42""-72"")"
TapeTech,simple,8034TT,8034TT,"34"" Box Handle","34"" Box Handle","34"" Box Handle"
TapeTech,simple,8042TT,8042TT,"42"" Box Handle","42"" Box Handle","42"" Box Handle"
TapeTech,simple,8054TT,8054TT,"54"" Box Handle","54"" Box Handle","54"" Box Handle"
TapeTech,simple,8072TT,8072TT,"72"" Box Handle","72"" Box Handle","72"" Box Handle"
TapeTech,simple,88TTE,88TTE,"Box XTender Handle","Box XTender Handle","Box XTender Handle"
TapeTech,simple,8134TT,8134TT,"34"" EasyFinish Handle","34"" EasyFinish Handle","34"" EasyFinish Handle"
TapeTech,simple,8142TT,8142TT,"42"" EasyFinish Handle","42"" EasyFinish Handle","42"" EasyFinish Handle"
TapeTech,simple,8154TT,8154TT,"54"" EasyFinish Handle","54"" EasyFinish Handle","54"" EasyFinish Handle"
TapeTech,simple,8172TT,8172TT,"72"" EasyFinish Handle","72"" EasyFinish Handle","72"" EasyFinish Handle"
TapeTech,simple,BH,BH,"Brakeless Box Handle","Brakeless Box Handle","Brakeless Box Handle"
TapeTech,simple,BHE,BHE,"Brakeless Box Handle (extendable)","Brakeless Box Handle (extendable)","Brakeless Box Handle (extendable)"
TapeTech,simple,BHE-SW,BHE-SW,"SideWinder Rotational Brakeless Finishing Box Handle","SideWinder Rotational Brakeless Finishing Box Handle","SideWinder Rotational Brakeless Finishing Box Handle"
TapeTech,simple,8000TT,8000TT,"Wizard Compact Finishing Box Handle","Wizard Compact Finishing Box Handle","Wizard Compact Finishing Box Handle"
TapeTech,simple,8000TT-PA,8000TT-PA,"Wizard Compact Finishing Box Handle for Power Assist","Wizard Compact Finishing Box Handle for Power Assist","Wizard Compact Finishing Box Handle for Power Assist"
TapeTech,simple,XHTT,XHTT,"Extension Handle","Extension Handle","Extension Handle"
TapeTech,simple,FHTT,FHTT,"Fiberglass Support Handle","Fiberglass Support Handle","Fiberglass Support Handle"
TapeTech,simple,FHTT-CC,FHTT-CC,"Fiberglass Support Handle with Corner Cobra adapter","Fiberglass Support Handle with Corner Cobra adapter","Fiberglass Support Handle with Corner Cobra adapter"
TapeTech,simple,PFK07TT,PFK07TT,"7"" Wipedown Knife","7"" Wipedown Knife","7"" Wipedown Knife"
TapeTech,simple,PFK12TT,PFK12TT,"12"" Wipedown Knife","12"" Wipedown Knife","12"" Wipedown Knife"
TapeTech,simple,PFK14TT,PFK14TT,"14"" Finishing Knife","14"" Finishing Knife","14"" Finishing Knife"
TapeTech,simple,PFK18TT,PFK18TT,"18"" Finishing Knife","18"" Finishing Knife","18"" Finishing Knife"
TapeTech,simple,PFK24TT,PFK24TT,"24"" Finishing Knife","24"" Finishing Knife","24"" Finishing Knife"
TapeTech,simple,PFK32TT,PFK32TT,"32"" Finishing Knife","32"" Finishing Knife","32"" Finishing Knife"
TapeTech,simple,PFK40TT,PFK40TT,"40"" Finishing Knife","40"" Finishing Knife","40"" Finishing Knife"
TapeTech,simple,PFK48TT,PFK48TT,"48"" Finishing Knife","48"" Finishing Knife","48"" Finishing Knife"
TapeTech,simple,PFB07,PFB07,"7"" Premium Finishing Knife Blade","7"" Premium Finishing Knife Blade","7"" Premium Finishing Knife Blade"
TapeTech,simple,PFB12,PFB12,"12"" Premium Finishing Knife Blade","12"" Premium Finishing Knife Blade","12"" Premium Finishing Knife Blade"
TapeTech,simple,PFB14,PFB14,"14"" Premium Finishing Knife Blade","14"" Premium Finishing Knife Blade","14"" Premium Finishing Knife Blade"
TapeTech,simple,PFB18,PFB18,"18"" Premium Finishing Knife Blade","18"" Premium Finishing Knife Blade","18"" Premium Finishing Knife Blade"
TapeTech,simple,PFB24,PFB24,"24"" Premium Finishing Knife Blade","24"" Premium Finishing Knife Blade","24"" Premium Finishing Knife Blade"
TapeTech,simple,PFB32,PFB32,"32"" Premium Finishing Knife Blade","32"" Premium Finishing Knife Blade","32"" Premium Finishing Knife Blade"
TapeTech,simple,PFB40,PFB40,"40"" Premium Finishing Knife Blade","40"" Premium Finishing Knife Blade","40"" Premium Finishing Knife Blade"
TapeTech,simple,PFB48,PFB48,"48"" Premium Finishing Knife Blade","48"" Premium Finishing Knife Blade","48"" Premium Finishing Knife Blade"
