sku,type,image_count,image_files,image_urls
BH9-5,variation,1,columbia-180-grip-box-handle-repair-parts-BH9-5-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH9-5-01.webp
BH9-6,variation,1,columbia-180-grip-box-handle-repair-parts-BH9-6-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-180-grip-box-handle-repair-parts-BH9-6-01.webp
C12MP,variation,1,columbia-mud-pans-12-inch-C12MP-6-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-mud-pans-12-inch-C12MP-6-01.webp
C14MP,variation,1,columbia-mud-pans-14-inch-C14MP-6-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-mud-pans-14-inch-C14MP-6-01.webp
C16MP,variation,1,columbia-mud-pans-16-inch-C16MP-6-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-mud-pans-16-inch-C16MP-6-01.webp
C1H,variation,4,columbia-one-1-inch-C1H-01.webp | columbia-one-1-inch-C1H-02.webp | columbia-one-1-inch-C1H-03.webp | columbia-one-1-inch-C1H-04.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-one-1-inch-C1H-01.webp
CBNCR,simple,1,columbia-bullnose-outside-corner-roller-CBNCR-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-bullnose-outside-corner-roller-CBNCR-01.webp
CC,simple,1,columbia-corner-cobra-CC-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-cobra-CC-01.webp
CC-RK,simple,1,columbia-corner-cobra-repair-kit-CC-RK-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-cobra-repair-kit-CC-RK-01.webp
CEXT90,simple,2,columbia-external-corner-applicator-CEXT90-01.webp | columbia-external-corner-applicator-CEXT90-02.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-external-corner-applicator-CEXT90-01.webp | https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-external-corner-applicator-CEXT90-02.webp
CFB10,variation,1,columbia-corner-flusher-box-repair-parts-CFB10-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-flusher-box-repair-parts-CFB10-01.webp
CFB11A,variation,1,columbia-corner-flusher-box-repair-parts-CFB11A-01.webp,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-corner-flusher-box-repair-parts-CFB11A-01.webp
