"row_index","sku","name","url","status","source_mpn","source_price","note"
"255","15TTEWHANDLE","TapeTech Corner Roller with Handle","https://www.all-wall.com/3-nailspotter-parts","200","","","no_price"
"277","NS02FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 2""","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA07TT","200","CA07TT","315.00","mpn_mismatch"
"277","NS02FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 2""","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA08TT","200","CA08TT","330.00","mpn_mismatch"
"277","NS02FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 2""","https://www.all-wall.com/TapeTech-Fiberglass-Support-Handle-FHTT","200","FHTT","59.00","mpn_mismatch"
"277","NS02FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 2""","https://www.all-wall.com/TapeTech-Angle-Head-Handle-FHTT","200","","","no_price"
"277","NS02FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 2""","https://www.all-wall.com/TapeTech-Handle-FHTTCC","200","FHTT-CC","50.00","mpn_mismatch"
"277","NS02FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 2""","https://www.all-wall.com/TapeTech-CornerRoller-17TTE","200","17TTE","179.00","mpn_mismatch"
"277","NS02FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 2""","https://www.all-wall.com/2-nailspotter-parts","200","","","no_price"
"277","NS02FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 2""","https://www.all-wall.com/3-nailspotter-parts","200","","","no_price"
"278","NS03FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 3""","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA07TT","200","CA07TT","315.00","mpn_mismatch"
"278","NS03FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 3""","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA08TT","200","CA08TT","330.00","mpn_mismatch"
"278","NS03FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 3""","https://www.all-wall.com/TapeTech-Fiberglass-Support-Handle-FHTT","200","FHTT","59.00","mpn_mismatch"
"278","NS03FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 3""","https://www.all-wall.com/TapeTech-Angle-Head-Handle-FHTT","200","","","no_price"
"278","NS03FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 3""","https://www.all-wall.com/TapeTech-Handle-FHTTCC","200","FHTT-CC","50.00","mpn_mismatch"
"278","NS03FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 3""","https://www.all-wall.com/TapeTech-CornerRoller-17TTE","200","17TTE","179.00","mpn_mismatch"
"278","NS03FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 3""","https://www.all-wall.com/2-nailspotter-parts","200","","","no_price"
"278","NS03FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 3""","https://www.all-wall.com/3-nailspotter-parts","200","","","no_price"
"289","FHTTCAATT","TapeTech Fiberglass Angle Box Handle (FHTT/CAA)","https://www.all-wall.com/TapeTech-Corner-Applicator-Head-CA07TT","200","CA07TT","315.00","mpn_mismatch"
